episode,timestep,reward
1,450,100.8467
3,900,100.6841
6,1800,97.3014
8,2250,102.7295
9,2700,111.4046
11,3150,108.5439
13,3600,115.0445
14,4050,98.7691
16,4500,96.3372
19,5400,95.1155
21,5850,93.5242
24,6750,104.7496
26,7200,102.7718
27,7650,106.0284
29,8100,97.2383
31,8550,98.1926
32,9000,97.0748
34,9450,109.0208
37,10350,98.0676
39,10800,95.6114
42,11700,110.4694
44,12150,103.8717
45,12600,105.7637
47,13050,106.0296
49,13500,105.4537
50,13950,88.7125
52,14400,95.9595
55,15300,100.0435
57,15750,93.4894
60,16650,106.9613
62,17100,101.7017
63,17550,102.6942
65,18000,101.7612
67,18450,108.3592
68,18900,107.0721
70,19350,87.8405
73,20250,95.2977
75,20700,100.7303
78,21600,105.8725
80,22050,109.0453
81,22500,93.3402
83,22950,97.2468
85,23400,104.3234
86,23850,116.4424
88,24300,111.9923
91,25200,106.5656
93,25650,108.7714
96,26550,101.4875
98,27000,97.3635
99,27450,115.362
101,27900,119.4366
103,28350,102.7862
104,28800,108.325
106,29250,108.3586
109,30150,104.456
111,30600,99.0243
114,31500,104.9106
116,31950,111.7898
117,32400,112.2723
119,32850,120.7351
121,33300,113.149
122,33750,120.3251
124,34200,105.2441
127,35100,108.2665
129,35550,112.498
132,36450,117.7639
134,36900,109.7206
135,37350,97.7925
137,37800,110.212
139,38250,112.0429
140,38700,111.2175
142,39150,119.2235
145,40050,105.8181
147,40500,115.9841
150,41400,118.423
152,41850,117.6121
153,42300,136.4673
155,42750,111.7094
157,43200,123.6931
158,43650,107.8003
160,44100,115.934
163,45000,120.7664
165,45450,113.1821
168,46350,114.1827
170,46800,125.6606
171,47250,135.2953
173,47700,108.3298
175,48150,126.096
176,48600,115.3453
178,49050,124.1198
181,49950,117.3731
183,50400,122.2129
186,51300,115.3085
188,51750,125.5699
189,52200,128.6957
191,52650,115.6704
193,53100,112.1534
194,53550,104.8031
196,54000,115.1605
199,54900,118.898
201,55350,120.2315
204,56250,110.1068
206,56700,111.325
207,57150,108.3296
209,57600,121.003
211,58050,116.899
212,58500,121.9999
214,58950,110.9065
217,59850,107.0653
219,60300,113.0758
222,61200,116.3987
224,61650,108.4034
225,62100,112.5264
227,62550,112.9976
229,63000,103.4146
230,63450,116.8445
232,63900,105.3866
235,64800,117.8459
237,65250,106.3533
240,66150,110.0871
242,66600,113.5058
243,67050,117.1908
245,67500,101.6676
247,67950,101.7607
248,68400,95.8998
250,68850,106.775
253,69750,108.7001
255,70200,120.9896
258,71100,105.6717
260,71550,107.6997
261,72000,114.0773
263,72450,109.7079
265,72900,110.4589
266,73350,99.7861
268,73800,105.7142
271,74700,111.4873
273,75150,113.355
276,76050,111.1029
278,76500,116.0792
279,76950,112.3643
281,77400,108.1727
283,77850,102.6948
284,78300,118.4869
286,78750,104.7203
289,79650,110.4657
291,80100,111.0515
294,81000,115.9418
296,81450,112.6364
297,81900,120.7362
299,82350,107.5231
301,82800,94.8185
302,83250,106.6952
304,83700,102.3965
307,84600,104.6646
309,85050,109.6747
312,85950,115.3341
314,86400,106.0939
315,86850,121.5063
317,87300,109.0658
319,87750,114.9222
320,88200,91.8851
322,88650,107.8032
325,89550,115.9293
327,90000,120.411
330,90900,122.0671
332,91350,109.1555
333,91800,116.9744
335,92250,124.4781
337,92700,115.7432
338,93150,122.5396
340,93600,116.8688
343,94500,109.3186
345,94950,115.6691
348,95850,125.1089
350,96300,112.5623
351,96750,128.1983
353,97200,120.8991
355,97650,124.487
356,98100,114.4613
358,98550,117.6428
361,99450,120.8273
363,99900,121.2866
