episode,timestep,reward
1,450,-133.7234
3,900,-135.443
6,1800,-131.8757
8,2250,-125.6548
9,2700,-129.7104
11,3150,-116.3509
13,3600,-132.5785
14,4050,-127.974
16,4500,-125.6519
19,5400,-128.7874
21,5850,-117.3861
24,6750,-114.6941
26,7200,-109.2676
27,7650,-102.1088
29,8100,-113.1157
31,8550,-112.3644
32,9000,-118.0293
34,9450,-102.0324
37,10350,-102.6032
39,10800,-99.9685
42,11700,-104.2009
44,12150,-100.1556
45,12600,-100.1417
47,13050,-98.4898
49,13500,-103.1177
50,13950,-102.8502
52,14400,-99.1974
55,15300,-94.9958
57,15750,-85.2519
60,16650,-88.0761
62,17100,-84.3615
63,17550,-76.211
65,18000,-70.6216
67,18450,-64.7604
68,18900,-59.6782
70,19350,-75.4901
73,20250,-59.2596
75,20700,-66.1218
78,21600,-60.7302
80,22050,-60.606
81,22500,-66.777
83,22950,-54.8014
85,23400,-52.7562
86,23850,-57.711
88,24300,-62.3021
91,25200,-64.1817
93,25650,-56.5113
96,26550,-51.9861
98,27000,-62.0516
99,27450,-67.1268
101,27900,-46.5629
103,28350,-53.9601
104,28800,-58.013
106,29250,-60.4425
109,30150,-63.4118
111,30600,-65.4659
114,31500,-57.594
116,31950,-59.2057
117,32400,-44.7111
119,32850,-57.8429
121,33300,-50.7119
122,33750,-49.1234
124,34200,-50.9865
127,35100,-57.6928
129,35550,-47.2535
132,36450,-52.6654
134,36900,-47.3753
135,37350,-67.1456
137,37800,-56.0352
139,38250,-58.3816
140,38700,-46.1664
142,39150,-49.406
145,40050,-48.7273
147,40500,-47.2546
150,41400,-46.9538
152,41850,-47.8387
153,42300,-45.2239
155,42750,-44.1991
157,43200,-40.427
158,43650,-37.6666
160,44100,-41.3915
163,45000,-42.3539
165,45450,-40.0952
168,46350,-47.978
170,46800,-41.4609
171,47250,-47.7311
173,47700,-39.8347
175,48150,-38.509
176,48600,-39.9671
178,49050,-39.8827
181,49950,-43.1356
183,50400,-34.4175
186,51300,-42.7176
188,51750,-43.2217
189,52200,-36.1974
191,52650,-41.2146
193,53100,-41.5468
194,53550,-38.3678
196,54000,-40.3488
199,54900,-41.1722
201,55350,-48.4452
204,56250,-37.9384
206,56700,-36.9645
207,57150,-44.2081
209,57600,-39.4968
211,58050,-43.4342
212,58500,-42.1529
214,58950,-39.7605
217,59850,-37.8025
219,60300,-40.6524
222,61200,-40.3613
224,61650,-30.4839
225,62100,-30.1498
227,62550,-37.5781
229,63000,-35.5818
230,63450,-30.1769
232,63900,-32.495
235,64800,-37.0593
237,65250,-38.4201
240,66150,-33.9221
242,66600,-33.9415
243,67050,-28.4198
245,67500,-39.8217
247,67950,-36.4733
248,68400,-40.0307
250,68850,-30.5175
253,69750,-36.8922
255,70200,-26.6134
258,71100,-30.0038
260,71550,-32.4684
261,72000,-27.7981
263,72450,-24.1791
265,72900,-27.0544
266,73350,-23.1773
268,73800,-31.247
271,74700,-29.2951
273,75150,-26.9734
276,76050,-26.8201
278,76500,-28.7359
279,76950,-28.0162
281,77400,-27.8361
283,77850,-31.0215
284,78300,-23.6843
286,78750,-26.5138
289,79650,-25.1873
291,80100,-24.4689
294,81000,-26.163
296,81450,-24.258
297,81900,-22.1222
299,82350,-31.3152
301,82800,-31.3993
302,83250,-24.0033
304,83700,-26.169
307,84600,-22.5521
309,85050,-27.5522
312,85950,-28.4257
314,86400,-22.0573
315,86850,-30.4018
317,87300,-28.3863
319,87750,-33.7408
320,88200,-21.5811
322,88650,-37.0107
325,89550,-26.5761
327,90000,-27.6656
330,90900,-21.7741
332,91350,-27.6219
333,91800,-21.4222
335,92250,-23.1259
337,92700,-25.9706
338,93150,-29.6073
340,93600,-22.8532
343,94500,-22.1294
345,94950,-26.0651
348,95850,-26.1619
350,96300,-26.3759
351,96750,-23.1706
353,97200,-21.3017
355,97650,-25.4101
356,98100,-24.9444
358,98550,-26.1232
361,99450,-23.0878
363,99900,-25.3382
