episode,timestep,reward
1,450,-2.4519
3,900,-3.1856
6,1800,-3.1973
8,2250,-3.246
9,2700,-3.1768
11,3150,-3.2123
13,3600,-3.2123
14,4050,-3.2603
16,4500,-3.2098
19,5400,-3.1973
21,5850,-3.1739
24,6750,-3.1768
26,7200,-3.1739
27,7650,-3.1768
29,8100,-3.2123
31,8550,-3.1768
32,9000,-3.1768
34,9450,-3.2273
37,10350,-3.2005
39,10800,-3.1768
42,11700,-3.1768
44,12150,-3.2174
45,12600,-3.2537
47,13050,-3.2145
49,13500,-3.1768
50,13950,-3.1922
52,14400,-3.2251
55,15300,-3.1998
57,15750,-3.1768
60,16650,-3.2105
62,17100,-3.1768
63,17550,-3.1768
65,18000,-3.1768
67,18450,-3.1768
68,18900,-3.1768
70,19350,-3.1768
73,20250,-3.1819
75,20700,-3.257
78,21600,-3.1599
80,22050,-3.1768
81,22500,-3.2537
83,22950,-3.1768
85,23400,-3.2185
86,23850,-3.1768
88,24300,-3.2152
91,25200,-3.232
93,25650,-3.1739
96,26550,-3.1768
98,27000,-3.1768
99,27450,-3.2603
101,27900,-3.1739
103,28350,-3.1739
104,28800,-3.1768
106,29250,-3.2
109,30150,-3.2178
111,30600,-3.1739
114,31500,-3.2178
116,31950,-3.2152
117,32400,-3.1768
119,32850,-3.1768
121,33300,-3.1768
122,33750,-3.1768
124,34200,-3.2152
127,35100,-3.1954
129,35550,-3.2438
132,36450,-3.2083
134,36900,-3.2185
135,37350,-3.1944
137,37800,-3.2152
139,38250,-3.1728
140,38700,-3.1768
142,39150,-3.1728
145,40050,-3.1768
147,40500,-3.1618
150,41400,-3.1954
152,41850,-3.2076
153,42300,-3.1768
155,42750,-3.2185
157,43200,-3.1856
158,43650,-3.1768
160,44100,-3.2094
163,45000,-3.1749
165,45450,-3.2163
168,46350,-3.1973
170,46800,-3.2592
171,47250,-3.1768
173,47700,-3.1856
175,48150,-3.1768
176,48600,-3.1768
178,49050,-3.1768
181,49950,-3.2046
183,50400,-3.1739
186,51300,-3.2286
188,51750,-3.1739
189,52200,-3.1768
191,52650,-3.2171
193,53100,-3.224
194,53550,-3.2537
196,54000,-3.1856
199,54900,-3.1729
201,55350,-3.1856
204,56250,-3.1973
206,56700,-3.2152
207,57150,-3.1768
209,57600,-3.1768
211,58050,-3.1768
212,58500,-3.1768
214,58950,-3.2127
217,59850,-3.1826
219,60300,-3.2076
222,61200,-3.1826
224,61650,-3.1768
225,62100,-3.1768
227,62550,-3.1647
229,63000,-3.1768
230,63450,-3.1768
232,63900,-3.1768
235,64800,-3.254
237,65250,-3.1768
240,66150,-3.1768
242,66600,-3.1845
243,67050,-3.2537
245,67500,-3.2273
247,67950,-3.2152
248,68400,-3.1768
250,68850,-3.257
253,69750,-3.1958
255,70200,-3.1856
258,71100,-3.1826
260,71550,-3.2116
261,72000,-3.185
263,72450,-3.2076
265,72900,-3.2076
266,73350,-3.1768
268,73800,-3.1768
271,74700,-3.1973
273,75150,-3.1768
276,76050,-3.2024
278,76500,-3.1768
279,76950,-3.1768
281,77400,-3.1728
283,77850,-3.2185
284,78300,-3.1768
286,78750,-3.1768
289,79650,-3.1749
291,80100,-3.1768
294,81000,-3.1826
296,81450,-3.1768
297,81900,-3.1768
299,82350,-3.2185
301,82800,-3.1768
302,83250,-3.2487
304,83700,-3.1751
307,84600,-3.1834
309,85050,-3.2123
312,85950,-3.2339
314,86400,-3.2076
315,86850,-3.0911
317,87300,-3.2152
319,87750,-3.1768
320,88200,-3.1768
322,88650,-3.1856
325,89550,-3.2046
327,90000,-3.1339
330,90900,-3.1749
332,91350,-3.1768
333,91800,-3.1768
335,92250,-3.1856
337,92700,-3.2603
338,93150,-3.1768
340,93600,-3.1768
343,94500,-3.2046
345,94950,-3.1739
348,95850,-3.1768
350,96300,-3.1798
351,96750,-3.2383
353,97200,-3.246
355,97650,-3.1768
356,98100,-3.1768
358,98550,-3.1856
361,99450,-3.1768
363,99900,-3.1856
