episode,timestep,reward
1,450,-1.9575
3,900,-3.2065
6,1800,-2.1701
8,2250,-2.6056
9,2700,-3.2559
11,3150,-3.2414
13,3600,-3.2323
14,4050,-3.0019
16,4500,-2.2422
19,5400,-2.3755
21,5850,-3.1768
24,6750,-3.1768
26,7200,-3.1768
27,7650,-3.1768
29,8100,-3.1768
31,8550,-3.1131
32,9000,-3.2559
34,9450,-1.9575
37,10350,-3.2588
39,10800,-3.2475
42,11700,-3.2559
44,12150,-3.2559
45,12600,-3.2559
47,13050,-3.2493
49,13500,-3.2559
50,13950,-3.2559
52,14400,-3.2338
55,15300,-3.2559
57,15750,-2.8631
60,16650,-3.0808
62,17100,-3.2548
63,17550,-3.2603
65,18000,-3.2581
67,18450,-3.2581
68,18900,-3.2603
70,19350,-3.0988
73,20250,-2.6189
75,20700,-2.8181
78,21600,-3.0872
80,22050,-2.9155
81,22500,-2.7457
83,22950,-2.9961
85,23400,-2.9961
86,23850,-3.2545
88,24300,-2.6805
91,25200,-3.0632
93,25650,-3.2534
96,26550,-2.8
98,27000,-3.2545
99,27450,-3.2545
101,27900,-3.2439
103,28350,-3.0853
104,28800,-3.0831
106,29250,-3.1676
109,30150,-3.1676
111,30600,-3.1676
114,31500,-3.0896
116,31950,-3.2424
117,32400,-3.2149
119,32850,-3.0913
121,33300,-3.1676
122,33750,-3.1886
124,34200,-3.1781
127,35100,-3.1676
129,35550,-3.1676
132,36450,-3.1676
134,36900,-3.1534
135,37350,-3.2151
137,37800,-3.2371
139,38250,-2.9675
140,38700,-3.1676
142,39150,-3.1676
145,40050,-3.1676
147,40500,-3.1676
150,41400,-3.1676
152,41850,-3.1676
153,42300,-3.1676
155,42750,-3.1676
157,43200,-3.1939
158,43650,-3.2043
160,44100,-3.0253
163,45000,-3.1297
165,45450,-3.1676
168,46350,-3.1768
170,46800,-3.1768
171,47250,-3.1768
173,47700,-3.1722
175,48150,-3.1676
176,48600,-3.1676
178,49050,-3.1676
181,49950,-2.2772
183,50400,-1.9575
186,51300,-2.3433
188,51750,-1.9575
189,52200,-1.9575
191,52650,-2.0423
193,53100,-1.9575
194,53550,-1.9575
196,54000,-1.9575
199,54900,-1.9575
201,55350,-1.9575
204,56250,-2.6098
206,56700,-2.923
207,57150,-2.9905
209,57600,-3.0329
211,58050,-3.1662
212,58500,-3.2004
214,58950,-1.9575
217,59850,-1.9575
219,60300,-1.9575
222,61200,-1.9575
224,61650,-2.4881
225,62100,-3.2427
227,62550,-3.0796
229,63000,-1.9575
230,63450,-1.9575
232,63900,-2.4775
235,64800,-2.0594
237,65250,-1.9575
240,66150,-2.0729
242,66600,-1.958
243,67050,-1.9575
245,67500,-1.9594
247,67950,-1.9621
248,68400,-1.9575
250,68850,-1.9575
253,69750,-2.3898
255,70200,-3.1724
258,71100,-2.8337
260,71550,-2.2853
261,72000,-2.2529
263,72450,-2.9425
265,72900,-2.9835
266,73350,-2.0285
268,73800,-1.9575
271,74700,-1.9678
273,75150,-2.9238
276,76050,-3.1856
278,76500,-1.9575
279,76950,-1.9575
281,77400,-2.7393
283,77850,-3.2229
284,78300,-3.1734
286,78750,-3.1676
289,79650,-3.1595
291,80100,-3.135
294,81000,-2.568
296,81450,-2.8345
297,81900,-3.1846
299,82350,-2.8778
301,82800,-2.8486
302,83250,-3.1702
304,83700,-2.8479
307,84600,-1.9767
309,85050,-2.1075
312,85950,-2.9742
314,86400,-3.2447
315,86850,-3.2283
317,87300,-2.3943
319,87750,-3.1274
320,88200,-3.2217
322,88650,-3.2161
325,89550,-2.5817
327,90000,-2.4521
330,90900,-3.0645
332,91350,-2.8333
333,91800,-3.0131
335,92250,-2.8194
337,92700,-2.5827
338,93150,-1.9767
340,93600,-2.3884
343,94500,-3.1316
345,94950,-3.1706
348,95850,-2.6098
350,96300,-3.1567
351,96750,-3.2523
353,97200,-3.2182
355,97650,-3.1734
356,98100,-3.1365
358,98550,-3.163
361,99450,-2.8046
363,99900,-2.1858
