episode,timestep,reward
1,450,-2.4348
3,900,-2.8502
5,1350,-2.7651
7,1800,-2.5567
9,2250,-2.8943
11,2700,-2.6345
13,3150,-2.6429
15,3600,-2.7639
17,4050,-2.4794
19,4500,-2.8515
21,4950,-2.9456
23,5400,-3.0406
25,5850,-2.9067
27,6300,-2.6977
29,6750,-2.9087
31,7200,-2.4001
33,7650,-3.0845
35,8100,-2.443
37,8550,-2.2082
39,9000,-2.6428
41,9450,-2.3488
43,9900,-2.2077
45,10350,-2.541
47,10800,-2.8092
49,11250,-3.1847
51,11700,-2.5042
53,12150,-2.5013
55,12600,-3.0128
57,13050,-2.3255
59,13500,-2.8583
61,13950,-2.6855
63,14400,-2.5783
65,14850,-2.7928
67,15300,-2.5057
69,15750,-2.284
71,16200,-2.5524
73,16650,-2.5623
75,17100,-2.8543
77,17550,-2.79
79,18000,-2.4258
81,18450,-2.2253
83,18900,-2.4688
85,19350,-2.653
87,19800,-2.2536
89,20250,-2.455
91,20700,-2.7677
93,21150,-2.7088
95,21600,-2.0285
97,22050,-2.1027
99,22500,-2.063
101,22950,-2.5321
103,23400,-2.8045
105,23850,-2.5739
107,24300,-2.0608
109,24750,-2.4641
111,25200,-2.4524
113,25650,-2.6503
115,26100,-2.8544
117,26550,-3.122
119,27000,-2.9115
121,27450,-2.6719
123,27900,-2.3425
125,28350,-2.5722
127,28800,-3.0975
129,29250,-2.7968
131,29700,-3.2139
133,30150,-2.1296
135,30600,-2.6229
137,31050,-2.774
139,31500,-2.9962
141,31950,-2.693
143,32400,-3.0086
145,32850,-2.689
147,33300,-2.6345
149,33750,-2.4022
151,34200,-2.9594
153,34650,-2.5614
155,35100,-2.5524
157,35550,-2.6771
159,36000,-2.3503
161,36450,-2.9723
163,36900,-2.7372
165,37350,-2.5162
167,37800,-2.8793
169,38250,-2.664
171,38700,-2.7812
173,39150,-2.3106
175,39600,-3.0782
177,40050,-2.87
179,40500,-2.4389
181,40950,-2.7311
183,41400,-2.5923
185,41850,-2.972
187,42300,-2.8658
189,42750,-2.475
191,43200,-2.4643
193,43650,-3.0238
195,44100,-2.6314
197,44550,-2.8332
199,45000,-2.5384
201,45450,-2.8279
203,45900,-2.5174
205,46350,-2.3511
207,46800,-2.9353
209,47250,-2.5406
211,47700,-2.7193
213,48150,-2.651
215,48600,-2.7084
217,49050,-2.6474
219,49500,-2.4303
221,49950,-2.6008
223,50400,-2.4969
225,50850,-2.3573
227,51300,-2.3074
229,51750,-2.702
231,52200,-2.6117
233,52650,-2.2356
235,53100,-2.6288
237,53550,-2.6256
239,54000,-2.1042
241,54450,-2.685
243,54900,-2.4797
245,55350,-2.4529
247,55800,-2.2831
249,56250,-2.5131
251,56700,-2.5512
253,57150,-2.5218
255,57600,-2.6576
257,58050,-2.262
259,58500,-2.1289
261,58950,-2.3199
263,59400,-2.2027
265,59850,-2.1551
267,60300,-2.5951
269,60750,-2.231
271,61200,-2.7967
273,61650,-2.3462
275,62100,-2.4712
277,62550,-2.6248
279,63000,-2.2853
281,63450,-2.46
283,63900,-2.7461
285,64350,-2.914
287,64800,-2.3891
289,65250,-2.5428
291,65700,-2.228
293,66150,-2.5652
295,66600,-2.1414
297,67050,-2.8161
299,67500,-2.2176
301,67950,-2.2599
303,68400,-2.5099
305,68850,-2.0568
307,69300,-2.2727
309,69750,-2.283
311,70200,-2.596
313,70650,-2.8959
315,71100,-2.9029
317,71550,-3.1783
319,72000,-2.5823
321,72450,-2.407
323,72900,-2.6497
325,73350,-2.6476
327,73800,-2.5573
329,74250,-2.2723
331,74700,-2.3075
333,75150,-2.2808
335,75600,-2.8614
337,76050,-2.2494
339,76500,-2.5433
341,76950,-2.4678
343,77400,-2.5118
345,77850,-2.7056
347,78300,-2.0685
349,78750,-2.6941
351,79200,-2.7992
353,79650,-2.4937
355,80100,-2.1861
357,80550,-2.3342
359,81000,-2.6082
361,81450,-2.3177
363,81900,-2.718
365,82350,-2.615
367,82800,-2.1078
369,83250,-2.7405
371,83700,-2.1913
373,84150,-2.9488
375,84600,-2.3404
377,85050,-2.6851
379,85500,-2.5888
381,85950,-2.8379
383,86400,-2.7635
385,86850,-2.4115
387,87300,-2.3703
389,87750,-2.9116
391,88200,-2.4335
393,88650,-2.369
395,89100,-2.5835
397,89550,-2.5409
399,90000,-2.7943
401,90450,-2.3152
403,90900,-2.5889
405,91350,-2.5411
407,91800,-2.5626
409,92250,-2.4913
411,92700,-2.5274
413,93150,-2.6325
415,93600,-2.3093
417,94050,-2.5762
419,94500,-2.9435
421,94950,-2.3988
423,95400,-2.2828
425,95850,-2.55
427,96300,-2.5096
429,96750,-2.7725
431,97200,-3.0229
433,97650,-2.6973
435,98100,-2.4033
437,98550,-2.563
439,99000,-2.4686
441,99450,-2.6687
443,99900,-2.4723
