episode,timestep,reward
1,450,-2.7594
3,900,-2.8701
5,1350,-2.6756
7,1800,-2.7583
9,2250,-2.7105
11,2700,-2.8308
13,3150,-2.7326
15,3600,-2.7951
17,4050,-2.4836
19,4500,-2.9257
21,4950,-2.781
23,5400,-2.7328
25,5850,-2.8234
27,6300,-2.9232
29,6750,-2.5237
31,7200,-2.9218
33,7650,-2.5462
35,8100,-2.3979
37,8550,-2.621
39,9000,-2.6202
41,9450,-2.7368
43,9900,-2.615
45,10350,-2.0274
47,10800,-2.7076
49,11250,-2.4404
51,11700,-2.186
53,12150,-2.0713
55,12600,-2.906
57,13050,-2.1626
59,13500,-3.012
61,13950,-2.6306
63,14400,-2.0839
65,14850,-2.2442
67,15300,-2.1351
69,15750,-2.1253
71,16200,-2.1094
73,16650,-2.5027
75,17100,-2.3767
77,17550,-2.0483
79,18000,-2.0715
81,18450,-2.5867
83,18900,-3.2139
85,19350,-2.7017
87,19800,-3.0213
89,20250,-2.5599
91,20700,-2.5043
93,21150,-2.6674
95,21600,-2.3854
97,22050,-2.342
99,22500,-2.6112
101,22950,-2.7721
103,23400,-2.356
105,23850,-2.4832
107,24300,-2.71
109,24750,-2.142
111,25200,-2.3147
113,25650,-2.392
115,26100,-2.2191
117,26550,-2.8047
119,27000,-2.123
121,27450,-2.4843
123,27900,-2.6503
125,28350,-2.6755
127,28800,-2.5125
129,29250,-2.4798
131,29700,-2.5948
133,30150,-2.4283
135,30600,-2.3205
137,31050,-2.3059
139,31500,-2.607
141,31950,-2.2863
143,32400,-2.1573
145,32850,-2.8839
147,33300,-2.6739
149,33750,-2.1862
151,34200,-2.3064
153,34650,-2.2414
155,35100,-2.8397
157,35550,-2.493
159,36000,-2.7049
161,36450,-2.6511
163,36900,-2.4156
165,37350,-2.867
167,37800,-2.3271
169,38250,-2.6883
171,38700,-2.9129
173,39150,-2.6625
175,39600,-2.4203
177,40050,-2.9222
179,40500,-2.7178
181,40950,-2.4364
183,41400,-2.8763
185,41850,-2.5803
187,42300,-2.6765
189,42750,-2.5502
191,43200,-2.5945
193,43650,-2.1609
195,44100,-2.9429
197,44550,-2.4407
199,45000,-2.3048
201,45450,-2.7243
203,45900,-2.3013
205,46350,-3.0041
207,46800,-2.3025
209,47250,-2.7167
211,47700,-2.5129
213,48150,-2.4606
215,48600,-2.4891
217,49050,-2.4799
219,49500,-2.4695
221,49950,-2.4529
223,50400,-2.6464
225,50850,-2.4319
227,51300,-2.643
229,51750,-2.5723
231,52200,-2.4841
233,52650,-2.3043
235,53100,-2.3749
237,53550,-2.2518
239,54000,-1.9717
241,54450,-2.4507
243,54900,-2.2153
245,55350,-2.37
247,55800,-2.0515
249,56250,-2.3939
251,56700,-2.2113
253,57150,-2.4877
255,57600,-2.1768
257,58050,-2.3189
259,58500,-2.109
261,58950,-2.1078
263,59400,-2.2037
265,59850,-2.4568
267,60300,-2.3611
269,60750,-2.3141
271,61200,-2.4478
273,61650,-2.1733
275,62100,-2.2135
277,62550,-2.091
279,63000,-2.3698
281,63450,-2.4747
283,63900,-2.5851
285,64350,-2.3881
287,64800,-2.3432
289,65250,-2.7216
291,65700,-2.0951
293,66150,-2.2173
295,66600,-2.8159
297,67050,-2.8576
299,67500,-2.4239
301,67950,-2.4331
303,68400,-2.1899
305,68850,-2.1865
307,69300,-2.1233
309,69750,-2.2053
311,70200,-2.2059
313,70650,-2.4115
315,71100,-2.3377
317,71550,-2.2067
319,72000,-2.5293
321,72450,-2.7657
323,72900,-2.6385
325,73350,-2.1703
327,73800,-2.1817
329,74250,-2.6147
331,74700,-2.3562
333,75150,-3.0013
335,75600,-2.3933
337,76050,-2.8537
339,76500,-2.4126
341,76950,-2.3734
343,77400,-2.6327
345,77850,-2.0361
347,78300,-2.3973
349,78750,-2.7957
351,79200,-2.6895
353,79650,-2.6292
355,80100,-2.1605
357,80550,-3.0939
359,81000,-2.3201
361,81450,-2.3381
363,81900,-2.162
365,82350,-2.3556
367,82800,-2.3977
369,83250,-2.1713
371,83700,-2.0241
373,84150,-2.491
375,84600,-2.8837
377,85050,-2.3925
379,85500,-2.162
381,85950,-2.2794
383,86400,-2.541
385,86850,-2.4247
387,87300,-2.0379
389,87750,-3.1019
391,88200,-2.6514
393,88650,-1.9953
395,89100,-2.6504
397,89550,-2.2692
399,90000,-2.3301
401,90450,-2.3246
403,90900,-2.6711
405,91350,-2.2818
407,91800,-2.1614
409,92250,-2.8534
411,92700,-2.2014
413,93150,-2.0055
415,93600,-2.8355
417,94050,-2.3369
419,94500,-2.5285
421,94950,-2.5714
423,95400,-2.2737
425,95850,-2.3895
427,96300,-2.5901
429,96750,-2.9757
431,97200,-2.2154
433,97650,-2.2467
435,98100,-2.0676
437,98550,-2.581
439,99000,-2.0619
441,99450,-2.9741
443,99900,-2.3769
