episode,timestep,reward
1,450,-2.8229
3,900,-2.8166
5,1350,-2.783
7,1800,-2.794
9,2250,-2.7148
11,2700,-2.7754
13,3150,-2.6984
15,3600,-2.5987
17,4050,-2.6932
19,4500,-2.5454
21,4950,-2.5928
23,5400,-2.7344
25,5850,-2.4973
27,6300,-2.4885
29,6750,-2.726
31,7200,-2.8291
33,7650,-2.4614
35,8100,-2.6335
37,8550,-2.4268
39,9000,-2.5545
41,9450,-2.2588
43,9900,-2.3674
45,10350,-2.4742
47,10800,-2.4911
49,11250,-2.4306
51,11700,-2.2855
53,12150,-2.1303
55,12600,-2.3019
57,13050,-2.4331
59,13500,-2.3449
61,13950,-2.1979
63,14400,-2.1307
65,14850,-2.2144
67,15300,-2.2905
69,15750,-2.5867
71,16200,-2.4756
73,16650,-2.4597
75,17100,-2.1625
77,17550,-2.6332
79,18000,-2.3624
81,18450,-2.3142
83,18900,-1.9816
85,19350,-2.432
87,19800,-2.2259
89,20250,-2.3753
91,20700,-2.1612
93,21150,-2.3231
95,21600,-1.9604
97,22050,-2.0578
99,22500,-2.0364
101,22950,-1.9712
103,23400,-2.2038
105,23850,-2.3527
107,24300,-2.2855
109,24750,-2.1648
111,25200,-2.0916
113,25650,-2.2545
115,26100,-2.1311
117,26550,-1.973
119,27000,-1.9809
121,27450,-2.1358
123,27900,-2.0185
125,28350,-2.0648
127,28800,-2.0043
129,29250,-2.0973
131,29700,-2.0677
133,30150,-1.9665
135,30600,-2.2155
137,31050,-2.0213
139,31500,-2.1042
141,31950,-1.9575
143,32400,-2.0121
145,32850,-1.9989
147,33300,-1.9683
149,33750,-2.573
151,34200,-1.9629
153,34650,-1.9575
155,35100,-2.112
157,35550,-2.0289
159,36000,-2.0187
161,36450,-1.9575
163,36900,-2.0169
165,37350,-1.9894
167,37800,-2.3258
169,38250,-1.9633
171,38700,-2.0599
173,39150,-1.9683
175,39600,-1.9575
177,40050,-1.9814
179,40500,-2.0012
181,40950,-1.9604
183,41400,-1.9755
185,41850,-2.0205
187,42300,-2.098
189,42750,-2.0041
191,43200,-1.9575
193,43650,-2.0085
195,44100,-1.9705
197,44550,-1.9575
199,45000,-1.9633
201,45450,-2.0891
203,45900,-2.0807
205,46350,-1.9755
207,46800,-2.0205
209,47250,-2.0944
211,47700,-1.9932
213,48150,-2.0043
215,48600,-1.9701
217,49050,-1.9604
219,49500,-1.9575
221,49950,-1.9575
223,50400,-2.1412
225,50850,-1.9647
227,51300,-2.2359
229,51750,-1.9575
231,52200,-1.9575
233,52650,-1.9575
235,53100,-2.0512
237,53550,-1.9575
239,54000,-1.9575
241,54450,-2.0097
243,54900,-1.9575
245,55350,-1.9604
247,55800,-1.9773
249,56250,-1.9575
251,56700,-1.9575
253,57150,-1.9575
255,57600,-2.0764
257,58050,-2.0422
259,58500,-1.9647
261,58950,-1.9575
263,59400,-2.1953
265,59850,-1.9575
267,60300,-1.9604
269,60750,-1.9575
271,61200,-1.9575
273,61650,-1.9575
275,62100,-2.0404
277,62550,-1.9622
279,63000,-1.9809
281,63450,-1.9575
283,63900,-1.9736
285,64350,-1.9575
287,64800,-1.9575
289,65250,-1.9575
291,65700,-1.9575
293,66150,-2.0039
295,66600,-1.9575
297,67050,-1.9662
299,67500,-1.9575
301,67950,-1.9575
303,68400,-1.9575
305,68850,-1.9575
307,69300,-1.9575
309,69750,-1.9575
311,70200,-2.044
313,70650,-1.9575
315,71100,-1.9575
317,71550,-1.9575
319,72000,-1.9603
321,72450,-1.9575
323,72900,-1.9575
325,73350,-1.9575
327,73800,-1.9575
329,74250,-1.9604
331,74700,-1.9575
333,75150,-1.9575
335,75600,-1.9593
337,76050,-1.9575
339,76500,-2.0043
341,76950,-1.9719
343,77400,-1.9575
345,77850,-1.9575
347,78300,-1.9575
349,78750,-1.9575
351,79200,-1.9575
353,79650,-1.9575
355,80100,-1.9881
357,80550,-1.9575
359,81000,-1.9575
361,81450,-1.9611
363,81900,-1.9575
365,82350,-1.9593
367,82800,-1.9575
369,83250,-1.9575
371,83700,-1.9575
373,84150,-1.9575
375,84600,-1.9865
377,85050,-2.0883
379,85500,-1.9575
381,85950,-1.9575
383,86400,-1.9575
385,86850,-1.9575
387,87300,-1.9575
389,87750,-1.9575
391,88200,-1.9575
393,88650,-1.9575
395,89100,-1.9593
397,89550,-1.9773
399,90000,-1.9575
401,90450,-1.9575
403,90900,-1.9575
405,91350,-1.9575
407,91800,-1.9575
409,92250,-1.9575
411,92700,-2.0007
413,93150,-1.9778
415,93600,-2.0654
417,94050,-1.9575
419,94500,-2.0863
421,94950,-1.9575
423,95400,-1.9575
425,95850,-1.9575
427,96300,-1.9575
429,96750,-1.9575
431,97200,-1.9604
433,97650,-1.9575
435,98100,-1.9575
437,98550,-1.9749
439,99000,-1.9575
441,99450,-1.9575
443,99900,-1.9575
