episode,timestep,reward
1,450,78.7265
3,900,79.7944
5,1350,79.3302
7,1800,81.6742
9,2250,90.289
11,2700,92.2511
13,3150,90.4565
15,3600,86.8744
17,4050,82.4271
19,4500,94.8
21,4950,96.526
23,5400,110.7247
25,5850,95.4531
27,6300,99.353
29,6750,99.1006
31,7200,103.9967
33,7650,103.2102
35,8100,108.2618
37,8550,106.7233
39,9000,116.0797
41,9450,122.0295
43,9900,126.0761
45,10350,119.7294
47,10800,121.0925
49,11250,137.6458
51,11700,115.4594
53,12150,118.7475
55,12600,133.2859
57,13050,139.4073
59,13500,127.5979
61,13950,143.0138
63,14400,131.4244
65,14850,137.4052
67,15300,147.332
69,15750,151.9385
71,16200,137.1258
73,16650,149.1382
75,17100,153.3828
77,17550,156.3607
79,18000,134.3645
81,18450,146.4593
83,18900,168.8702
85,19350,157.1757
87,19800,154.8586
89,20250,143.3717
91,20700,152.2693
93,21150,156.8906
95,21600,161.6792
97,22050,171.1369
99,22500,156.9038
101,22950,171.4151
103,23400,169.4267
105,23850,180.0218
107,24300,179.6123
109,24750,185.7482
111,25200,175.6614
113,25650,176.268
115,26100,180.1162
117,26550,187.6301
119,27000,188.6098
121,27450,189.95
123,27900,185.0984
125,28350,191.1508
127,28800,169.6507
129,29250,176.844
131,29700,190.651
133,30150,190.1705
135,30600,192.9408
137,31050,193.3414
139,31500,193.7782
141,31950,186.7732
143,32400,193.7428
145,32850,186.0232
147,33300,193.4115
149,33750,185.3204
151,34200,195.9434
153,34650,196.3628
155,35100,194.9601
157,35550,194.4183
159,36000,190.3818
161,36450,196.0087
163,36900,189.679
165,37350,192.5862
167,37800,194.9368
169,38250,186.8033
171,38700,194.5249
173,39150,196.6393
175,39600,190.5625
177,40050,192.7403
179,40500,190.7108
181,40950,198.5154
183,41400,202.4672
185,41850,197.5102
187,42300,195.3427
189,42750,192.9202
191,43200,196.653
193,43650,195.5185
195,44100,199.4373
197,44550,198.252
199,45000,201.5931
201,45450,200.0305
203,45900,192.6622
205,46350,200.7763
207,46800,199.4135
209,47250,187.385
211,47700,199.6046
213,48150,197.4583
215,48600,198.7032
217,49050,200.3988
219,49500,203.0073
221,49950,198.9119
223,50400,201.8062
225,50850,188.0268
227,51300,199.7846
229,51750,200.4012
231,52200,197.6226
233,52650,193.0202
235,53100,199.3957
237,53550,194.7638
239,54000,202.8573
241,54450,196.6072
243,54900,196.5135
245,55350,196.1136
247,55800,203.2589
249,56250,194.6277
251,56700,199.5164
253,57150,200.3673
255,57600,200.8543
257,58050,200.6908
259,58500,200.6658
261,58950,198.4503
263,59400,201.2948
265,59850,199.3231
267,60300,199.2562
269,60750,199.9652
271,61200,197.5494
273,61650,202.5073
275,62100,201.8036
277,62550,189.8426
279,63000,200.9678
281,63450,202.1763
283,63900,197.4226
285,64350,201.4589
287,64800,199.6342
289,65250,196.5178
291,65700,200.1625
293,66150,202.8073
295,66600,199.0358
297,67050,202.7068
299,67500,198.5309
301,67950,201.9573
303,68400,197.9399
305,68850,200.1889
307,69300,198.443
309,69750,203.3589
311,70200,199.819
313,70650,198.1159
315,71100,203.4107
317,71550,202.6073
319,72000,203.5142
321,72450,203.0794
323,72900,200.9361
325,73350,202.9966
327,73800,200.7763
329,74250,199.252
331,74700,202.2531
333,75150,194.5026
335,75600,202.5345
337,76050,202.6779
339,76500,200.897
341,76950,203.2968
343,77400,201.0279
345,77850,202.3073
347,78300,199.1731
349,78750,199.6984
351,79200,201.6773
353,79650,200.0641
355,80100,199.332
357,80550,202.8121
359,81000,202.5515
361,81450,201.1009
363,81900,200.6342
365,82350,203.5263
367,82800,202.75
369,83250,201.092
371,83700,202.9452
373,84150,203.6073
375,84600,201.4726
377,85050,201.9863
379,85500,201.7021
381,85950,202.583
383,86400,203.0294
385,86850,199.9934
387,87300,202.3342
389,87750,202.9242
391,88200,199.7125
393,88650,201.9615
395,89100,199.3377
397,89550,200.7615
399,90000,202.0073
401,90450,198.6457
403,90900,203.1726
405,91350,200.2264
407,91800,202.8121
409,92250,200.4027
411,92700,200.7378
413,93150,202.0357
415,93600,203.4573
417,94050,200.1305
419,94500,202.6447
421,94950,202.5073
423,95400,189.3108
425,95850,202.3447
427,96300,195.2926
429,96750,201.9652
431,97200,203.5073
433,97650,200.4353
435,98100,200.9367
437,98550,201.8788
439,99000,203.5452
441,99450,203.421
443,99900,201.1089
