episode,timestep,reward
1,450,-2.853
3,900,-2.9394
5,1350,-2.7201
7,1800,-2.896
9,2250,-2.6114
11,2700,-2.9231
13,3150,-2.6818
15,3600,-2.684
17,4050,-2.798
19,4500,-2.6537
21,4950,-2.3394
23,5400,-2.5361
25,5850,-2.7615
27,6300,-2.2879
29,6750,-2.7113
31,7200,-2.7886
33,7650,-2.4899
35,8100,-2.8262
37,8550,-2.4929
39,9000,-2.3886
41,9450,-2.2102
43,9900,-2.6025
45,10350,-2.0633
47,10800,-2.1238
49,11250,-2.5839
51,11700,-2.3196
53,12150,-2.4183
55,12600,-2.3332
57,13050,-2.5531
59,13500,-2.6095
61,13950,-2.9371
63,14400,-2.4814
65,14850,-2.6941
67,15300,-2.2532
69,15750,-2.9388
71,16200,-2.7517
73,16650,-2.6215
75,17100,-2.5214
77,17550,-2.8601
79,18000,-2.4471
81,18450,-2.2277
83,18900,-2.3333
85,19350,-2.383
87,19800,-2.4706
89,20250,-2.8543
91,20700,-2.8232
93,21150,-2.6329
95,21600,-2.6829
97,22050,-2.7014
99,22500,-2.9419
101,22950,-2.7443
103,23400,-2.6989
105,23850,-2.9996
107,24300,-2.7355
109,24750,-2.76
111,25200,-2.5959
113,25650,-2.7947
115,26100,-2.368
117,26550,-2.6672
119,27000,-2.4627
121,27450,-2.9227
123,27900,-2.6043
125,28350,-2.5406
127,28800,-2.3223
129,29250,-2.541
131,29700,-2.7652
133,30150,-2.8932
135,30600,-2.9448
137,31050,-2.7997
139,31500,-2.9222
141,31950,-2.3142
143,32400,-2.3749
145,32850,-2.7205
147,33300,-2.3641
149,33750,-2.6591
151,34200,-2.4678
153,34650,-2.8504
155,35100,-2.4563
157,35550,-2.3848
159,36000,-2.5931
161,36450,-2.6929
163,36900,-2.9519
165,37350,-2.8734
167,37800,-2.7967
169,38250,-2.3252
171,38700,-2.7778
173,39150,-3.0004
175,39600,-2.59
177,40050,-2.6575
179,40500,-2.6636
181,40950,-2.6929
183,41400,-3.0394
185,41850,-2.5849
187,42300,-2.894
189,42750,-2.9973
191,43200,-2.9856
193,43650,-2.7386
195,44100,-2.5971
197,44550,-2.6628
199,45000,-2.851
201,45450,-2.8831
203,45900,-2.9473
205,46350,-2.8128
207,46800,-2.7599
209,47250,-2.6072
211,47700,-2.6592
213,48150,-3.0613
215,48600,-2.647
217,49050,-2.8111
219,49500,-3.0554
221,49950,-2.7389
223,50400,-2.7062
225,50850,-2.8329
227,51300,-2.6105
229,51750,-2.9824
231,52200,-2.8277
233,52650,-2.4903
235,53100,-2.8252
237,53550,-3.0884
239,54000,-2.4401
241,54450,-2.6522
243,54900,-2.5022
245,55350,-2.4991
247,55800,-2.5431
249,56250,-2.6304
251,56700,-2.5036
253,57150,-3.0393
255,57600,-2.3429
257,58050,-2.2564
259,58500,-2.3097
261,58950,-2.7865
263,59400,-2.8952
265,59850,-2.5329
267,60300,-2.7193
269,60750,-2.1743
271,61200,-2.7772
273,61650,-2.352
275,62100,-2.8292
277,62550,-2.9094
279,63000,-2.3634
281,63450,-2.6464
283,63900,-2.5116
285,64350,-2.6191
287,64800,-2.9467
289,65250,-2.4729
291,65700,-2.7182
293,66150,-2.7367
295,66600,-2.5639
297,67050,-2.4041
299,67500,-2.6381
301,67950,-2.3554
303,68400,-2.9988
305,68850,-2.9528
307,69300,-2.6237
309,69750,-3.0563
311,70200,-2.8866
313,70650,-2.4645
315,71100,-2.6914
317,71550,-2.5925
319,72000,-2.6589
321,72450,-2.6462
323,72900,-2.6452
325,73350,-2.8603
327,73800,-2.4316
329,74250,-2.44
331,74700,-2.2894
333,75150,-2.2251
335,75600,-2.6873
337,76050,-2.4602
339,76500,-2.7849
341,76950,-2.8437
343,77400,-2.9244
345,77850,-2.0559
347,78300,-2.4576
349,78750,-2.1212
351,79200,-2.0983
353,79650,-2.5864
355,80100,-2.0934
357,80550,-2.6755
359,81000,-2.4546
361,81450,-2.0383
363,81900,-2.4699
365,82350,-2.0841
367,82800,-2.5975
369,83250,-2.4357
371,83700,-2.3008
373,84150,-2.3252
375,84600,-2.6009
377,85050,-2.3411
379,85500,-2.4314
381,85950,-2.6431
383,86400,-2.4673
385,86850,-2.2754
387,87300,-2.6984
389,87750,-2.3575
391,88200,-2.3702
393,88650,-2.4203
395,89100,-2.3353
397,89550,-2.2893
399,90000,-2.4523
401,90450,-2.3555
403,90900,-2.8042
405,91350,-2.2557
407,91800,-2.5543
409,92250,-2.3521
411,92700,-2.4884
413,93150,-2.2916
415,93600,-2.1234
417,94050,-2.3023
419,94500,-2.5821
421,94950,-2.2661
423,95400,-2.9375
425,95850,-2.7934
427,96300,-2.2299
429,96750,-2.5663
431,97200,-2.4669
433,97650,-2.0962
435,98100,-2.4842
437,98550,-2.5609
439,99000,-2.3563
441,99450,-2.0133
443,99900,-2.3995
