episode,timestep,reward
1,450,92.4122
3,900,84.1571
5,1350,83.4051
7,1800,94.2261
9,2250,89.1867
11,2700,85.2029
13,3150,90.6072
15,3600,94.8363
17,4050,90.229
19,4500,88.0172
21,4950,92.3699
23,5400,83.6381
25,5850,82.7354
27,6300,92.9025
29,6750,90.1527
31,7200,89.6389
33,7650,90.4851
35,8100,86.7229
37,8550,92.9589
39,9000,91.488
41,9450,85.3327
43,9900,93.3217
45,10350,102.3015
47,10800,94.9556
49,11250,89.7718
51,11700,98.9786
53,12150,87.471
55,12600,95.5167
57,13050,94.1259
59,13500,103.5287
61,13950,98.7459
63,14400,94.7901
65,14850,107.0123
67,15300,93.0075
69,15750,101.0019
71,16200,93.9052
73,16650,113.8765
75,17100,102.8204
77,17550,93.9065
79,18000,102.3028
81,18450,105.4781
83,18900,94.4768
85,19350,106.2874
87,19800,102.9005
89,20250,106.9674
91,20700,106.4943
93,21150,103.8527
95,21600,108.9222
97,22050,96.6183
99,22500,108.2364
101,22950,106.9333
103,23400,114.8169
105,23850,107.9873
107,24300,107.0161
109,24750,110.7828
111,25200,88.5958
113,25650,104.0712
115,26100,96.279
117,26550,95.3252
119,27000,95.9282
121,27450,101.3884
123,27900,99.895
125,28350,108.4218
127,28800,101.5487
129,29250,107.4702
131,29700,91.9766
133,30150,97.947
135,30600,99.5444
137,31050,103.9378
139,31500,100.1579
141,31950,101.4968
143,32400,105.2472
145,32850,102.1875
147,33300,93.93
149,33750,97.512
151,34200,100.3476
153,34650,106.8945
155,35100,125.9293
157,35550,116.6195
159,36000,102.5851
161,36450,113.9755
163,36900,109.9809
165,37350,107.4056
167,37800,115.5595
169,38250,110.1807
171,38700,98.531
173,39150,109.0437
175,39600,117.3534
177,40050,122.835
179,40500,117.5127
181,40950,105.9184
183,41400,100.0841
185,41850,112.4863
187,42300,112.3643
189,42750,112.9082
191,43200,107.0667
193,43650,125.1502
195,44100,126.8593
197,44550,115.4205
199,45000,115.4876
201,45450,125.8682
203,45900,131.4089
205,46350,114.4693
207,46800,118.135
209,47250,111.7112
211,47700,106.1199
213,48150,121.8395
215,48600,112.7699
217,49050,107.6999
219,49500,124.4318
221,49950,121.7753
223,50400,119.7299
225,50850,133.756
227,51300,111.1179
229,51750,132.7635
231,52200,121.1435
233,52650,122.8676
235,53100,125.4946
237,53550,113.2491
239,54000,119.3947
241,54450,134.4623
243,54900,129.4322
245,55350,115.0406
247,55800,109.4672
249,56250,110.3826
251,56700,119.1592
253,57150,123.5518
255,57600,112.9159
257,58050,115.8875
259,58500,113.4778
261,58950,120.5976
263,59400,119.2426
265,59850,114.5301
267,60300,123.0994
269,60750,117.5391
271,61200,142.6342
273,61650,119.0901
275,62100,135.5822
277,62550,117.0343
279,63000,123.643
281,63450,110.9944
283,63900,140.1171
285,64350,127.876
287,64800,112.685
289,65250,124.0371
291,65700,125.8222
293,66150,120.6699
295,66600,127.9118
297,67050,124.6724
299,67500,107.0592
301,67950,121.0413
303,68400,103.6781
305,68850,121.9933
307,69300,124.8311
309,69750,134.2409
311,70200,127.635
313,70650,124.6797
315,71100,125.63
317,71550,123.7315
319,72000,129.9277
321,72450,119.9677
323,72900,129.6819
325,73350,125.485
327,73800,134.1423
329,74250,137.1058
331,74700,127.5853
333,75150,127.0757
335,75600,130.0028
337,76050,125.8452
339,76500,108.371
341,76950,120.6322
343,77400,121.8526
345,77850,127.4765
347,78300,132.3201
349,78750,125.2985
351,79200,128.2082
353,79650,130.216
355,80100,135.7771
357,80550,122.6425
359,81000,120.6149
361,81450,124.7889
363,81900,126.3846
365,82350,116.2537
367,82800,132.6237
369,83250,114.3457
371,83700,128.4887
373,84150,131.7982
375,84600,141.5027
377,85050,131.8009
379,85500,138.0491
381,85950,133.1147
383,86400,126.4971
385,86850,134.8993
387,87300,122.2881
389,87750,133.8036
391,88200,131.5425
393,88650,127.0954
395,89100,130.4766
397,89550,127.281
399,90000,131.4502
401,90450,113.3681
403,90900,128.7177
405,91350,139.4847
407,91800,127.6373
409,92250,136.9409
411,92700,124.4742
413,93150,132.8311
415,93600,129.4551
417,94050,142.6415
419,94500,119.8087
421,94950,140.2326
423,95400,130.6332
425,95850,133.0572
427,96300,147.7065
429,96750,133.2922
431,97200,118.5068
433,97650,137.2176
435,98100,129.2097
437,98550,133.1195
439,99000,121.511
441,99450,134.3592
443,99900,131.3312
