episode,timestep,reward
1,400,-123.5308
3,800,-122.4072
5,1200,-131.2399
7,1600,-120.2186
9,2000,-125.0788
11,2400,-122.9466
13,2800,-132.4406
15,3200,-125.3721
17,3600,-122.7523
19,4000,-123.4374
21,4400,-124.1201
23,4800,-124.9132
25,5200,-116.9584
27,5600,-122.3999
29,6000,-126.1156
31,6400,-128.5828
33,6800,-133.8134
35,7200,-122.7413
37,7600,-116.5446
39,8000,-117.0726
41,8400,-124.4789
43,8800,-124.2955
45,9200,-122.6193
47,9600,-119.8894
49,10000,-117.9459
51,10400,-106.7208
53,10800,-122.9176
55,11200,-117.0122
57,11600,-111.7473
59,12000,-122.0322
61,12400,-117.448
63,12800,-115.2411
65,13200,-121.8011
67,13600,-107.6857
69,14000,-109.612
71,14400,-112.7745
73,14800,-122.7211
75,15200,-114.3542
77,15600,-115.5565
79,16000,-118.979
81,16400,-122.5013
83,16800,-119.0796
85,17200,-113.2607
87,17600,-106.1759
89,18000,-110.7596
91,18400,-111.6737
93,18800,-125.9309
95,19200,-112.0379
97,19600,-106.1793
99,20000,-104.1458
101,20400,-118.3693
103,20800,-114.8596
105,21200,-111.4637
107,21600,-113.8143
109,22000,-113.2032
111,22400,-117.2055
113,22800,-109.9109
115,23200,-107.5914
117,23600,-111.1311
119,24000,-115.4062
121,24400,-109.1751
123,24800,-119.2015
125,25200,-113.4029
127,25600,-116.8176
129,26000,-115.6893
131,26400,-114.4489
133,26800,-112.6202
135,27200,-106.1917
137,27600,-113.2398
139,28000,-107.4259
141,28400,-117.1758
143,28800,-111.9422
145,29200,-109.5736
147,29600,-113.7383
149,30000,-112.1345
151,30400,-107.2428
153,30800,-115.2043
155,31200,-117.8858
157,31600,-113.2896
159,32000,-115.6701
161,32400,-115.4662
163,32800,-114.1001
165,33200,-106.4966
167,33600,-107.4691
169,34000,-117.2355
171,34400,-109.1047
173,34800,-117.01
175,35200,-113.324
177,35600,-106.5623
179,36000,-103.651
181,36400,-113.6178
183,36800,-111.6892
185,37200,-111.3146
187,37600,-97.8258
189,38000,-105.2355
191,38400,-107.6252
193,38800,-105.8458
195,39200,-105.9391
197,39600,-109.8752
199,40000,-104.9102
201,40400,-97.622
203,40800,-113.81
205,41200,-107.4634
207,41600,-105.1766
209,42000,-112.1035
211,42400,-99.37
213,42800,-94.7738
215,43200,-117.3413
217,43600,-107.0304
219,44000,-101.1864
221,44400,-109.2344
223,44800,-96.8148
225,45200,-83.8544
227,45600,-99.7085
229,46000,-105.8857
231,46400,-101.5795
233,46800,-102.6182
235,47200,-98.6053
237,47600,-103.3817
239,48000,-107.8093
241,48400,-106.4564
243,48800,-112.8469
245,49200,-99.3808
247,49600,-98.3493
249,50000,-101.3942
251,50400,-105.5976
253,50800,-101.5923
255,51200,-89.2176
257,51600,-116.1729
259,52000,-99.7112
261,52400,-107.1924
263,52800,-102.8234
265,53200,-100.931
267,53600,-94.5136
269,54000,-103.4476
271,54400,-101.7853
273,54800,-100.1236
275,55200,-108.7007
277,55600,-106.1357
279,56000,-84.9106
281,56400,-111.9082
283,56800,-105.6057
285,57200,-112.0262
287,57600,-92.0334
289,58000,-102.0074
291,58400,-93.0906
293,58800,-91.9099
295,59200,-92.3062
297,59600,-100.5413
299,60000,-80.7929
301,60400,-78.6101
303,60800,-84.6163
305,61200,-83.708
307,61600,-83.8448
309,62000,-98.5709
311,62400,-71.6064
313,62800,-64.2921
315,63200,-78.8975
317,63600,-88.8799
319,64000,-75.1629
321,64400,-87.0052
323,64800,-80.0102
325,65200,-72.5484
327,65600,-82.52
329,66000,-87.4441
331,66400,-87.3946
333,66800,-90.8413
335,67200,-55.4148
337,67600,-85.8537
339,68000,-103.8646
341,68400,-65.7522
343,68800,-80.7278
345,69200,-86.1794
347,69600,-87.1416
349,70000,-80.8327
351,70400,-70.3354
353,70800,-72.1075
355,71200,-82.1459
357,71600,-74.0483
359,72000,-61.0886
361,72400,-101.2771
363,72800,-62.6386
365,73200,-82.8048
367,73600,-71.2732
369,74000,-76.7993
371,74400,-58.1725
373,74800,-79.4679
375,75200,-79.5328
377,75600,-65.6161
379,76000,-72.592
381,76400,-76.779
383,76800,-82.1575
385,77200,-95.5741
387,77600,-71.4092
389,78000,-89.5592
391,78400,-81.3496
393,78800,-83.0448
395,79200,-78.6455
397,79600,-84.4807
399,80000,-64.8282
401,80400,-76.9917
403,80800,-81.9258
405,81200,-81.8485
407,81600,-72.4861
409,82000,-83.903
411,82400,-86.5321
413,82800,-78.4175
415,83200,-80.1526
417,83600,-85.4662
419,84000,-79.9351
421,84400,-64.0666
423,84800,-84.9099
425,85200,-64.1873
427,85600,-60.9838
429,86000,-71.1584
431,86400,-81.197
433,86800,-65.0401
435,87200,-70.7591
437,87600,-70.4089
439,88000,-74.5821
441,88400,-73.2303
443,88800,-79.3634
445,89200,-57.7271
447,89600,-66.9895
449,90000,-61.7904
451,90400,-70.9621
453,90800,-61.5012
455,91200,-81.4583
457,91600,-67.7231
459,92000,-50.9578
461,92400,-70.2244
463,92800,-58.9838
465,93200,-66.9762
467,93600,-55.2732
469,94000,-67.7383
471,94400,-67.7984
473,94800,-92.0406
475,95200,-70.386
477,95600,-75.6259
479,96000,-79.9267
481,96400,-76.1941
483,96800,-75.5306
485,97200,-60.8562
487,97600,-55.7997
489,98000,-68.9532
491,98400,-67.6604
493,98800,-92.5759
495,99200,-76.9916
497,99600,-81.2402
499,100000,-72.2244
