episode,timestep,reward
1,450,-959.345
3,900,-959.3625
5,1350,-958.5875
7,1800,-958.5225
9,2250,-958.185
11,2700,-959.0
13,3150,-959.385
15,3600,-959.3625
17,4050,-960.0525
19,4500,-959.77
21,4950,-958.935
23,5400,-959.3025
25,5850,-958.915
27,6300,-958.6425
29,6750,-959.15
31,7200,-958.755
33,7650,-959.595
35,8100,-959.425
37,8550,-958.7525
39,9000,-962.355
41,9450,-958.16
43,9900,-959.06
45,10350,-959.12
47,10800,-958.32
49,11250,-960.07
51,11700,-960.595
53,12150,-960.5375
55,12600,-961.225
57,13050,-958.7725
59,13500,-958.3275
61,13950,-961.5875
63,14400,-958.8025
65,14850,-958.555
67,15300,-958.855
69,15750,-957.6825
71,16200,-958.71
73,16650,-958.5925
75,17100,-958.6225
77,17550,-960.08
79,18000,-962.865
81,18450,-958.9925
83,18900,-959.3775
85,19350,-961.5525
87,19800,-960.13
89,20250,-960.405
91,20700,-959.6025
93,21150,-958.695
95,21600,-958.575
97,22050,-958.3425
99,22500,-960.685
101,22950,-958.7375
103,23400,-958.5275
105,23850,-961.0275
107,24300,-958.935
109,24750,-958.4625
111,25200,-959.55
113,25650,-959.145
115,26100,-960.1025
117,26550,-959.47
119,27000,-959.12
121,27450,-959.3725
123,27900,-958.565
125,28350,-958.82
127,28800,-959.3125
129,29250,-958.73
131,29700,-959.0575
133,30150,-959.2825
135,30600,-957.4575
137,31050,-959.5
139,31500,-959.9025
141,31950,-960.14
143,32400,-958.705
145,32850,-960.385
147,33300,-958.38
149,33750,-960.9
151,34200,-959.29
153,34650,-958.745
155,35100,-958.0475
157,35550,-957.455
159,36000,-959.67
161,36450,-958.6925
163,36900,-958.3625
165,37350,-959.0575
167,37800,-959.4275
169,38250,-960.035
171,38700,-959.435
173,39150,-959.06
175,39600,-959.895
177,40050,-958.5175
179,40500,-957.715
181,40950,-958.7425
183,41400,-958.095
185,41850,-958.8225
187,42300,-956.91
189,42750,-958.195
191,43200,-959.375
193,43650,-961.0875
195,44100,-959.395
197,44550,-961.7425
199,45000,-958.275
201,45450,-958.155
203,45900,-958.55
205,46350,-957.3375
207,46800,-959.065
209,47250,-958.64
211,47700,-959.0025
213,48150,-959.4125
215,48600,-961.58
217,49050,-958.805
219,49500,-958.545
221,49950,-959.2975
223,50400,-957.5325
225,50850,-958.2325
227,51300,-957.74
229,51750,-959.83
231,52200,-958.8875
233,52650,-957.4275
235,53100,-959.805
237,53550,-957.9425
239,54000,-959.495
241,54450,-959.2425
243,54900,-958.755
245,55350,-958.63
247,55800,-958.1475
249,56250,-959.575
251,56700,-958.77
253,57150,-959.1375
255,57600,-958.4675
257,58050,-958.965
259,58500,-961.6425
261,58950,-959.085
263,59400,-958.905
265,59850,-958.4675
267,60300,-961.8625
269,60750,-958.2975
271,61200,-959.78
273,61650,-959.06
275,62100,-957.735
277,62550,-958.9625
279,63000,-958.935
281,63450,-957.975
283,63900,-958.255
285,64350,-960.6975
287,64800,-959.12
289,65250,-957.5225
291,65700,-958.37
293,66150,-957.7275
295,66600,-958.115
297,67050,-958.58
299,67500,-958.1825
301,67950,-959.7925
303,68400,-960.6
305,68850,-958.5625
307,69300,-958.96
309,69750,-958.89
311,70200,-958.0075
313,70650,-958.4125
315,71100,-958.87
317,71550,-957.88
319,72000,-959.2525
321,72450,-958.8725
323,72900,-959.225
325,73350,-959.4025
327,73800,-961.3575
329,74250,-958.8775
331,74700,-958.1125
333,75150,-959.55
335,75600,-960.9875
337,76050,-960.47
339,76500,-960.655
341,76950,-960.9425
343,77400,-959.6925
345,77850,-960.6375
347,78300,-959.235
349,78750,-959.9525
351,79200,-957.9875
353,79650,-960.155
355,80100,-957.7475
357,80550,-958.85
359,81000,-960.3375
361,81450,-959.2975
363,81900,-960.7
365,82350,-961.46
367,82800,-958.11
369,83250,-958.63
371,83700,-959.5
373,84150,-959.14
375,84600,-959.595
377,85050,-959.34
379,85500,-958.2
381,85950,-959.0775
383,86400,-958.0425
385,86850,-963.03
387,87300,-959.3425
389,87750,-959.0525
391,88200,-960.67
393,88650,-959.425
395,89100,-958.6775
397,89550,-960.895
399,90000,-958.5275
401,90450,-960.195
403,90900,-960.04
405,91350,-958.9125
407,91800,-959.835
409,92250,-960.055
411,92700,-958.425
413,93150,-959.8625
415,93600,-957.795
417,94050,-958.84
419,94500,-958.705
421,94950,-959.245
423,95400,-959.1
425,95850,-959.235
427,96300,-958.8325
429,96750,-959.11
431,97200,-958.295
433,97650,-959.5275
435,98100,-958.585
437,98550,-959.33
439,99000,-959.2225
441,99450,-958.65
443,99900,-959.9225
