episode,timestep,reward
1,400,-128.5524
3,800,-123.9918
5,1200,-123.7392
7,1600,-109.8611
9,2000,-124.5424
11,2400,-116.5325
13,2800,-125.5615
15,3200,-119.504
17,3600,-120.7564
19,4000,-120.5749
21,4400,-121.828
23,4800,-125.0198
25,5200,-122.6327
27,5600,-119.568
29,6000,-132.8674
31,6400,-127.4592
33,6800,-130.6805
35,7200,-111.4
37,7600,-118.4296
39,8000,-117.0524
41,8400,-120.8187
43,8800,-121.8195
45,9200,-116.6025
47,9600,-124.0022
49,10000,-115.1776
51,10400,-110.854
53,10800,-111.5468
55,11200,-121.7691
57,11600,-112.4391
59,12000,-118.3762
61,12400,-119.0368
63,12800,-113.0363
65,13200,-110.9932
67,13600,-108.2708
69,14000,-100.5835
71,14400,-105.7978
73,14800,-105.7959
75,15200,-110.6639
77,15600,-112.1429
79,16000,-115.166
81,16400,-108.1127
83,16800,-109.595
85,17200,-101.2278
87,17600,-106.6795
89,18000,-115.9726
91,18400,-84.4762
93,18800,-111.9209
95,19200,-95.3412
97,19600,-102.9037
99,20000,-97.6525
101,20400,-97.5631
103,20800,-97.7983
105,21200,-100.693
107,21600,-95.8393
109,22000,-93.2187
111,22400,-97.0446
113,22800,-94.329
115,23200,-96.0666
117,23600,-84.7854
119,24000,-96.9816
121,24400,-94.5367
123,24800,-90.4155
125,25200,-89.1668
127,25600,-89.274
129,26000,-90.5768
131,26400,-90.6446
133,26800,-92.4367
135,27200,-85.5817
137,27600,-90.886
139,28000,-93.5533
141,28400,-108.0213
143,28800,-95.9694
145,29200,-94.6291
147,29600,-91.3987
149,30000,-107.7425
151,30400,-88.068
153,30800,-93.4798
155,31200,-99.6968
157,31600,-98.6028
159,32000,-99.6383
161,32400,-92.8279
163,32800,-104.9936
165,33200,-108.8624
167,33600,-96.5137
169,34000,-84.3331
171,34400,-93.864
173,34800,-102.995
175,35200,-92.5309
177,35600,-84.1555
179,36000,-88.2862
181,36400,-101.1587
183,36800,-94.8692
185,37200,-93.3101
187,37600,-88.0762
189,38000,-87.7662
191,38400,-82.9537
193,38800,-90.7778
195,39200,-94.7984
197,39600,-84.2466
199,40000,-78.7658
201,40400,-82.5301
203,40800,-94.9123
205,41200,-88.4444
207,41600,-88.5908
209,42000,-74.501
211,42400,-77.7258
213,42800,-70.3501
215,43200,-78.3462
217,43600,-72.4
219,44000,-66.9623
221,44400,-74.9966
223,44800,-69.9209
225,45200,-64.4602
227,45600,-64.1304
229,46000,-64.6243
231,46400,-60.5891
233,46800,-65.5061
235,47200,-63.6796
237,47600,-65.8726
239,48000,-63.3974
241,48400,-64.6115
243,48800,-72.8131
245,49200,-70.558
247,49600,-80.3934
249,50000,-68.0483
251,50400,-72.8282
253,50800,-67.7029
255,51200,-71.3866
257,51600,-65.8512
259,52000,-58.2181
261,52400,-73.1555
263,52800,-71.8638
265,53200,-73.5431
267,53600,-74.2912
269,54000,-67.9732
271,54400,-70.9578
273,54800,-58.936
275,55200,-57.0561
277,55600,-76.537
279,56000,-58.7384
281,56400,-61.8958
283,56800,-63.3799
285,57200,-65.1985
287,57600,-53.84
289,58000,-54.6577
291,58400,-58.7792
293,58800,-68.5684
295,59200,-61.8301
297,59600,-64.9481
299,60000,-63.871
301,60400,-60.142
303,60800,-60.9776
305,61200,-64.9311
307,61600,-61.2079
309,62000,-55.6028
311,62400,-50.0755
313,62800,-65.7034
315,63200,-58.2748
317,63600,-70.0326
319,64000,-60.7271
321,64400,-53.6549
323,64800,-61.2674
325,65200,-59.259
327,65600,-56.3313
329,66000,-67.3135
331,66400,-55.151
333,66800,-49.1229
335,67200,-58.763
337,67600,-57.4925
339,68000,-53.775
341,68400,-59.4321
343,68800,-58.6654
345,69200,-49.9552
347,69600,-49.7601
349,70000,-52.9657
351,70400,-54.9935
353,70800,-47.6294
355,71200,-53.5596
357,71600,-54.4446
359,72000,-57.4777
361,72400,-60.1233
363,72800,-59.2005
365,73200,-47.4398
367,73600,-57.0772
369,74000,-56.1053
371,74400,-66.6374
373,74800,-59.9243
375,75200,-54.2763
377,75600,-60.516
379,76000,-54.9052
381,76400,-55.5167
383,76800,-63.4264
385,77200,-67.2022
387,77600,-58.8889
389,78000,-49.2795
391,78400,-51.755
393,78800,-56.2337
395,79200,-53.0603
397,79600,-53.1444
399,80000,-49.8738
401,80400,-43.3494
403,80800,-49.3649
405,81200,-48.151
407,81600,-48.6157
409,82000,-43.0717
411,82400,-66.2897
413,82800,-45.3429
415,83200,-48.442
417,83600,-51.6115
419,84000,-53.1494
421,84400,-56.3776
423,84800,-51.232
425,85200,-53.3309
427,85600,-55.4981
429,86000,-54.888
431,86400,-54.6416
433,86800,-51.6534
435,87200,-54.0642
437,87600,-64.086
439,88000,-45.8881
441,88400,-50.4153
443,88800,-47.5448
445,89200,-56.7034
447,89600,-38.7784
449,90000,-42.5075
451,90400,-54.0603
453,90800,-48.7683
455,91200,-45.4805
457,91600,-47.1258
459,92000,-44.5311
461,92400,-42.5808
463,92800,-42.0433
465,93200,-40.7662
467,93600,-34.4278
469,94000,-41.0749
471,94400,-38.1729
473,94800,-44.3127
475,95200,-39.6124
477,95600,-43.71
479,96000,-48.2861
481,96400,-36.8214
483,96800,-41.703
485,97200,-42.8705
487,97600,-37.6992
489,98000,-38.4971
491,98400,-41.6234
493,98800,-45.2503
495,99200,-44.9245
497,99600,-40.3198
499,100000,-43.7186
