episode,timestep,reward
1,450,91.8166
3,900,80.3689
5,1350,79.7354
7,1800,84.2724
9,2250,80.5186
11,2700,78.4656
13,3150,80.9694
15,3600,75.3034
17,4050,80.4401
19,4500,79.306
21,4950,79.791
23,5400,109.5259
25,5850,200.3389
27,6300,196.3438
29,6750,203.9184
31,7200,203.7629
33,7650,203.9184
35,8100,203.7629
37,8550,203.9184
39,9000,203.9184
41,9450,203.9184
43,9900,203.7629
45,10350,203.9184
47,10800,203.9184
49,11250,203.9184
51,11700,203.9184
53,12150,203.9184
55,12600,203.9184
57,13050,203.9184
59,13500,203.9184
61,13950,203.9184
63,14400,203.9184
65,14850,203.9184
67,15300,203.9184
69,15750,203.9184
71,16200,203.9184
73,16650,203.9184
75,17100,203.9778
77,17550,203.9778
79,18000,203.9778
81,18450,203.9778
83,18900,203.9778
85,19350,203.9778
87,19800,203.9778
89,20250,203.9778
91,20700,203.9778
93,21150,203.9778
95,21600,203.9778
97,22050,203.9778
99,22500,203.9778
101,22950,203.9778
103,23400,203.9778
105,23850,203.9778
107,24300,203.9778
109,24750,203.9778
111,25200,203.9778
113,25650,203.9778
115,26100,203.9778
117,26550,203.9778
119,27000,203.9778
121,27450,203.9778
123,27900,203.9778
125,28350,203.9778
127,28800,203.9778
129,29250,203.9778
131,29700,203.9778
133,30150,203.9778
135,30600,203.9778
137,31050,203.9778
139,31500,203.9778
141,31950,203.9778
143,32400,203.9778
145,32850,203.9778
147,33300,203.9778
149,33750,203.9778
151,34200,203.9778
153,34650,203.9778
155,35100,203.9778
157,35550,203.9778
159,36000,203.9778
161,36450,203.9778
163,36900,203.9778
165,37350,203.9778
167,37800,203.9778
169,38250,203.9778
171,38700,203.9778
173,39150,203.9778
175,39600,203.9778
177,40050,203.9778
179,40500,203.9778
181,40950,203.9778
183,41400,203.9778
185,41850,203.9778
187,42300,203.9778
189,42750,203.9778
191,43200,203.9778
193,43650,203.9778
195,44100,203.9778
197,44550,203.9778
199,45000,203.9778
201,45450,203.9778
203,45900,203.9778
205,46350,203.9778
207,46800,203.9778
209,47250,203.9778
211,47700,203.9778
213,48150,203.9778
215,48600,203.9778
217,49050,203.9778
219,49500,203.9778
221,49950,203.9778
223,50400,203.9778
225,50850,203.9778
227,51300,203.9778
229,51750,203.9778
231,52200,203.9778
233,52650,203.9778
235,53100,203.9778
237,53550,203.9778
239,54000,203.9778
241,54450,203.9778
243,54900,203.9778
245,55350,203.9778
247,55800,203.9778
249,56250,203.9778
251,56700,203.9778
253,57150,203.9778
255,57600,203.9778
257,58050,203.9778
259,58500,203.9778
261,58950,203.9778
263,59400,203.9778
265,59850,203.9778
267,60300,203.9778
269,60750,203.9778
271,61200,203.9778
273,61650,203.9778
275,62100,203.9778
277,62550,203.9778
279,63000,203.9778
281,63450,203.9778
283,63900,203.9778
285,64350,203.9778
287,64800,203.9778
289,65250,203.9778
291,65700,203.9778
293,66150,203.9778
295,66600,203.9778
297,67050,203.9778
299,67500,203.9778
301,67950,203.9778
303,68400,203.9778
305,68850,203.9778
307,69300,203.9778
309,69750,203.9778
311,70200,203.9778
313,70650,203.9778
315,71100,203.9778
317,71550,203.9778
319,72000,203.9778
321,72450,203.9778
323,72900,203.9778
325,73350,203.9778
327,73800,203.9778
329,74250,203.9778
331,74700,203.9778
333,75150,203.9778
335,75600,203.9778
337,76050,203.9778
339,76500,203.9778
341,76950,203.9778
343,77400,203.9778
345,77850,203.9778
347,78300,203.9778
349,78750,203.9778
351,79200,203.9778
353,79650,203.9778
355,80100,203.9778
357,80550,203.9778
359,81000,203.9778
361,81450,203.9778
363,81900,203.9778
365,82350,203.9778
367,82800,203.9778
369,83250,203.9778
371,83700,203.9778
373,84150,203.9778
375,84600,203.9778
377,85050,203.9778
379,85500,203.9778
381,85950,203.9778
383,86400,203.9778
385,86850,203.9778
387,87300,203.9778
389,87750,203.9778
391,88200,203.9778
393,88650,203.9778
395,89100,203.9778
397,89550,203.9778
399,90000,203.9778
401,90450,203.9778
403,90900,203.9778
405,91350,203.9778
407,91800,203.9778
409,92250,203.9778
411,92700,203.9778
413,93150,203.9778
415,93600,203.9778
417,94050,203.9778
419,94500,203.9778
421,94950,203.9778
423,95400,203.9778
425,95850,203.9778
427,96300,203.9778
429,96750,203.9778
431,97200,203.9778
433,97650,203.9778
435,98100,203.9778
437,98550,203.9778
439,99000,203.9778
441,99450,203.9778
443,99900,203.9778
