episode,timestep,reward
1,450,91.8166
3,900,80.3689
5,1350,79.7354
7,1800,84.2724
9,2250,80.5186
11,2700,78.4656
13,3150,80.9694
15,3600,75.3034
17,4050,80.4401
19,4500,79.306
21,4950,79.791
23,5400,119.5327
25,5850,181.5256
27,6300,177.6033
29,6750,136.7007
31,7200,115.2571
33,7650,109.2322
35,8100,113.8728
37,8550,89.4377
39,9000,93.7738
41,9450,102.3211
43,9900,104.9727
45,10350,100.3841
47,10800,94.2387
49,11250,85.2763
51,11700,102.7208
53,12150,94.0889
55,12600,90.9729
57,13050,95.9647
59,13500,92.4222
61,13950,102.0634
63,14400,105.9959
65,14850,100.781
67,15300,98.5649
69,15750,104.5672
71,16200,92.8968
73,16650,93.6164
75,17100,82.4149
77,17550,106.1978
79,18000,93.7485
81,18450,117.5833
83,18900,102.0502
85,19350,90.3993
87,19800,97.4026
89,20250,97.1846
91,20700,104.2805
93,21150,93.7458
95,21600,97.2215
97,22050,109.083
99,22500,104.0488
101,22950,98.4413
103,23400,99.5426
105,23850,104.6936
107,24300,109.2033
109,24750,107.5959
111,25200,104.7261
113,25650,115.7208
115,26100,97.0777
117,26550,113.7906
119,27000,116.441
121,27450,107.8038
123,27900,110.5447
125,28350,102.7622
127,28800,97.2925
129,29250,105.3371
131,29700,105.426
133,30150,107.6727
135,30600,103.556
137,31050,90.7657
139,31500,118.3387
141,31950,97.2276
143,32400,100.0209
145,32850,117.9816
147,33300,109.7456
149,33750,114.6792
151,34200,114.9274
153,34650,114.0905
155,35100,113.7342
157,35550,113.9521
159,36000,101.9326
161,36450,109.6379
163,36900,100.5665
165,37350,110.6487
167,37800,104.6976
169,38250,100.8762
171,38700,129.7853
173,39150,110.4568
175,39600,118.8657
177,40050,109.5726
179,40500,112.9823
181,40950,113.0309
183,41400,117.9598
185,41850,121.6557
187,42300,120.444
189,42750,120.0742
191,43200,125.894
193,43650,120.8857
195,44100,121.1742
197,44550,127.641
199,45000,111.8096
201,45450,120.5249
203,45900,114.9802
205,46350,109.9667
207,46800,107.3488
209,47250,102.5599
211,47700,106.2818
213,48150,106.1032
215,48600,119.3067
217,49050,119.8429
219,49500,125.631
221,49950,115.0512
223,50400,120.0781
225,50850,111.1667
227,51300,125.9653
229,51750,117.0651
231,52200,120.0387
233,52650,110.357
235,53100,97.7091
237,53550,128.0415
239,54000,129.2515
241,54450,126.9968
243,54900,122.5476
245,55350,119.3858
247,55800,114.0884
249,56250,126.0286
251,56700,119.2339
253,57150,124.9172
255,57600,123.555
257,58050,124.1066
259,58500,121.3848
261,58950,130.4284
263,59400,127.9883
265,59850,125.3977
267,60300,126.2531
269,60750,119.0259
271,61200,116.5897
273,61650,128.039
275,62100,120.6168
277,62550,119.7444
279,63000,129.9697
281,63450,130.8489
283,63900,128.3433
285,64350,110.0615
287,64800,125.3353
289,65250,131.3293
291,65700,115.6492
293,66150,119.8335
295,66600,115.0128
297,67050,128.6633
299,67500,128.1424
301,67950,128.673
303,68400,118.8814
305,68850,125.4446
307,69300,126.0039
309,69750,122.2616
311,70200,121.7677
313,70650,121.5822
315,71100,118.6821
317,71550,122.1564
319,72000,113.0959
321,72450,124.8652
323,72900,127.8474
325,73350,121.4412
327,73800,128.5592
329,74250,112.1763
331,74700,128.7133
333,75150,121.2116
335,75600,114.0772
337,76050,122.3293
339,76500,129.8566
341,76950,115.9112
343,77400,131.0439
345,77850,127.7024
347,78300,120.7718
349,78750,119.7458
351,79200,122.0204
353,79650,130.9898
355,80100,129.0238
357,80550,130.1095
359,81000,132.417
361,81450,132.2301
363,81900,133.393
365,82350,112.3939
367,82800,123.0092
369,83250,128.2447
371,83700,122.3204
373,84150,115.7241
375,84600,123.2177
377,85050,117.7861
379,85500,122.6806
381,85950,127.6594
383,86400,141.1325
385,86850,123.9965
387,87300,125.2159
389,87750,123.4144
391,88200,115.1934
393,88650,132.8588
395,89100,142.1836
397,89550,115.7248
399,90000,135.8409
401,90450,126.5871
403,90900,126.1286
405,91350,127.5148
407,91800,127.7649
409,92250,120.3027
411,92700,126.1154
413,93150,133.2667
415,93600,133.3685
417,94050,131.7832
419,94500,140.6446
421,94950,117.6085
423,95400,128.6133
425,95850,127.6749
427,96300,123.2669
429,96750,132.4313
431,97200,132.4173
433,97650,130.9409
435,98100,131.8819
437,98550,133.5511
439,99000,122.9243
441,99450,139.7075
443,99900,131.4358
