episode,timestep,reward
1,450,-2.023
3,900,-2.043
5,1350,-2.071
7,1800,-2.0807
9,2250,-2.1739
11,2700,-2.162
13,3150,-2.2234
15,3600,-2.2632
17,4050,-2.396
19,4500,-2.311
21,4950,-2.4873
23,5400,-2.238
25,5850,-2.2543
27,6300,-2.3024
29,6750,-2.2477
31,7200,-2.5217
33,7650,-2.2213
35,8100,-2.3341
37,8550,-2.2849
39,9000,-2.0528
41,9450,-2.3981
43,9900,-2.3397
45,10350,-2.2173
47,10800,-2.2896
49,11250,-2.3045
51,11700,-2.0469
53,12150,-2.4496
55,12600,-2.1287
57,13050,-2.589
59,13500,-1.9852
61,13950,-2.3266
63,14400,-2.1769
65,14850,-2.0178
67,15300,-2.1332
69,15750,-2.3133
71,16200,-2.2628
73,16650,-2.1823
75,17100,-2.0993
77,17550,-2.2198
79,18000,-2.2696
81,18450,-2.1921
83,18900,-2.2047
85,19350,-2.2168
87,19800,-2.3517
89,20250,-1.9897
91,20700,-2.0661
93,21150,-2.1603
95,21600,-2.2037
97,22050,-2.492
99,22500,-2.254
101,22950,-2.1998
103,23400,-2.1718
105,23850,-2.2428
107,24300,-2.0843
109,24750,-2.0967
111,25200,-2.122
113,25650,-2.3893
115,26100,-2.3522
117,26550,-2.1905
119,27000,-2.1338
121,27450,-2.5952
123,27900,-2.0986
125,28350,-2.166
127,28800,-2.3837
129,29250,-2.3224
131,29700,-2.3838
133,30150,-2.2005
135,30600,-2.187
137,31050,-2.1292
139,31500,-2.3636
141,31950,-2.1324
143,32400,-2.227
145,32850,-2.2395
147,33300,-2.2036
149,33750,-2.0443
151,34200,-2.4484
153,34650,-2.1374
155,35100,-2.3646
157,35550,-2.1601
159,36000,-2.1883
161,36450,-2.2755
163,36900,-2.4172
165,37350,-2.2983
167,37800,-2.2742
169,38250,-2.2213
171,38700,-2.0631
173,39150,-2.0185
175,39600,-2.3009
177,40050,-2.3465
179,40500,-2.3494
181,40950,-2.6169
183,41400,-2.1666
185,41850,-2.5107
187,42300,-2.2979
189,42750,-2.1317
191,43200,-2.0907
193,43650,-2.3996
195,44100,-2.0936
197,44550,-2.269
199,45000,-2.2762
201,45450,-2.2192
203,45900,-2.1748
205,46350,-2.1745
207,46800,-2.1838
209,47250,-2.4668
211,47700,-2.4015
213,48150,-2.3485
215,48600,-2.1626
217,49050,-2.2831
219,49500,-2.3726
221,49950,-2.1095
223,50400,-2.3557
225,50850,-2.1423
227,51300,-2.3695
229,51750,-1.9719
231,52200,-2.2849
233,52650,-2.2179
235,53100,-2.5331
237,53550,-2.1215
239,54000,-2.3319
241,54450,-2.3771
243,54900,-2.2673
245,55350,-2.3169
247,55800,-2.4973
249,56250,-2.3387
251,56700,-2.3941
253,57150,-2.13
255,57600,-2.3502
257,58050,-2.1392
259,58500,-2.4521
261,58950,-1.9755
