episode,timestep,reward
1,450,186.183
3,900,167.7301
5,1350,145.9603
7,1800,152.1285
9,2250,133.8033
11,2700,134.6176
13,3150,127.9571
15,3600,126.325
17,4050,136.2971
19,4500,123.3672
21,4950,132.7586
23,5400,123.6079
25,5850,140.759
27,6300,128.4695
29,6750,135.0296
31,7200,137.642
33,7650,133.5239
35,8100,138.3044
37,8550,138.5083
39,9000,134.0689
41,9450,133.8509
43,9900,144.4991
45,10350,140.7041
47,10800,146.6894
49,11250,145.057
51,11700,145.5724
53,12150,149.2177
55,12600,145.3603
57,13050,145.9517
59,13500,150.472
61,13950,148.8589
63,14400,155.7368
65,14850,147.2923
67,15300,155.4479
69,15750,159.3957
71,16200,154.8821
73,16650,164.0273
75,17100,156.8993
77,17550,171.614
79,18000,184.5811
81,18450,174.5801
83,18900,190.3631
85,19350,190.9819
87,19800,188.6255
89,20250,192.674
91,20700,194.4083
93,21150,193.0383
95,21600,202.1946
97,22050,203.4415
99,22500,202.5575
101,22950,203.2552
103,23400,200.6156
105,23850,200.0041
107,24300,203.9226
109,24750,200.1173
111,25200,187.5684
113,25650,203.9346
115,26100,173.3781
117,26550,194.1793
119,27000,180.6042
121,27450,184.8277
123,27900,171.3568
125,28350,197.9072
127,28800,190.6385
129,29250,193.5898
131,29700,181.4102
133,30150,191.4265
135,30600,184.566
137,31050,181.8672
139,31500,190.6263
141,31950,199.1841
143,32400,186.9724
145,32850,192.4951
147,33300,197.6275
149,33750,179.6414
151,34200,200.991
153,34650,194.2966
155,35100,202.4997
157,35550,200.0862
159,36000,197.5862
161,36450,203.7673
163,36900,203.8915
165,37350,203.6193
167,37800,203.771
169,38250,204.0778
171,38700,204.0778
173,39150,204.0778
175,39600,204.0778
177,40050,204.0778
179,40500,204.0778
181,40950,204.0778
183,41400,204.0778
185,41850,204.0778
187,42300,204.0778
189,42750,204.0778
191,43200,204.0778
193,43650,204.0778
195,44100,204.0778
197,44550,204.0778
199,45000,204.0778
201,45450,204.0778
203,45900,204.0778
205,46350,204.0778
207,46800,204.0778
209,47250,204.0778
211,47700,204.0778
213,48150,204.0778
215,48600,204.0778
217,49050,204.0778
219,49500,204.0778
221,49950,204.0778
223,50400,204.0778
225,50850,204.0076
227,51300,203.5173
229,51750,198.6629
231,52200,203.9451
233,52650,204.0698
235,53100,195.4905
237,53550,203.8294
239,54000,197.8597
241,54450,199.0222
243,54900,190.2982
245,55350,197.3931
247,55800,198.8071
249,56250,195.5184
251,56700,195.0627
253,57150,194.3433
255,57600,189.4999
257,58050,194.1191
259,58500,200.582
261,58950,199.7767
263,59400,195.1843
265,59850,203.8557
267,60300,203.4914
269,60750,204.0693
271,61200,203.0906
273,61650,203.2769
275,62100,201.373
277,62550,204.0698
279,63000,204.0156
281,63450,204.0693
283,63900,204.0698
285,64350,204.0157
287,64800,204.0778
289,65250,204.0077
291,65700,204.0778
293,66150,204.0536
295,66600,203.7282
297,67050,204.0698
299,67500,204.0621
301,67950,204.0541
303,68400,204.0621
305,68850,204.0778
307,69300,204.0778
309,69750,204.0698
311,70200,204.0698
313,70650,204.0618
315,71100,204.0333
317,71550,204.0541
319,72000,204.0698
321,72450,204.0613
323,72900,204.0621
325,73350,204.0613
327,73800,204.0541
329,74250,204.0541
331,74700,204.0618
333,75150,203.4308
335,75600,203.9847
337,76050,203.3456
339,76500,203.5682
341,76950,204.0621
343,77400,199.7351
345,77850,204.0541
347,78300,203.3234
349,78750,197.2882
351,79200,203.4652
353,79650,199.3553
355,80100,201.9497
357,80550,193.8208
359,81000,197.1235
361,81450,193.9707
363,81900,200.2744
365,82350,200.443
367,82800,190.0532
369,83250,202.28
371,83700,178.3406
373,84150,203.8867
375,84600,203.6751
377,85050,203.3592
379,85500,203.7456
381,85950,202.0522
383,86400,202.0888
385,86850,203.9225
387,87300,203.9969
389,87750,204.0017
391,88200,203.6157
393,88650,204.0613
395,89100,204.0778
397,89550,204.0621
399,90000,204.0698
401,90450,204.0778
403,90900,204.0778
405,91350,203.9178
407,91800,204.0778
409,92250,204.0618
411,92700,204.0698
413,93150,204.0698
415,93600,204.0778
417,94050,203.9888
419,94500,204.0778
421,94950,203.9808
423,95400,203.9065
425,95850,203.801
427,96300,204.0698
429,96750,204.0698
431,97200,204.0618
433,97650,204.0698
435,98100,203.905
437,98550,204.0698
439,99000,204.0698
441,99450,204.0698
443,99900,203.9322
