episode,timestep,reward
1,450,-2.6982
3,900,-2.5544
6,1800,-2.8629
8,2250,-2.7787
9,2700,-2.7104
11,3150,-2.979
13,3600,-2.5284
14,4050,-2.2932
16,4500,-2.7759
19,5400,-2.7078
21,5850,-2.9162
24,6750,-2.8685
26,7200,-2.9223
27,7650,-2.6676
29,8100,-2.722
31,8550,-2.9815
32,9000,-2.9719
34,9450,-2.8104
37,10350,-2.6961
39,10800,-2.7006
42,11700,-3.0365
44,12150,-2.7731
45,12600,-3.0634
47,13050,-2.7995
49,13500,-2.6457
50,13950,-3.0594
52,14400,-2.6813
55,15300,-2.8469
57,15750,-2.7046
60,16650,-2.7345
62,17100,-2.8277
63,17550,-2.7548
65,18000,-2.7821
67,18450,-2.8572
68,18900,-2.937
70,19350,-2.9227
73,20250,-2.8732
75,20700,-2.9078
78,21600,-2.785
80,22050,-3.0308
81,22500,-2.917
83,22950,-2.6999
85,23400,-2.6961
86,23850,-3.0068
88,24300,-2.547
91,25200,-2.948
93,25650,-2.8985
96,26550,-2.7375
98,27000,-2.6505
99,27450,-2.8467
101,27900,-2.8688
103,28350,-2.5991
104,28800,-2.7482
106,29250,-2.8351
109,30150,-2.6671
111,30600,-2.677
114,31500,-2.6852
116,31950,-2.9394
117,32400,-3.0531
119,32850,-2.7752
121,33300,-2.8576
122,33750,-3.0258
124,34200,-2.7588
127,35100,-2.7258
129,35550,-3.0003
132,36450,-2.7471
134,36900,-2.8356
135,37350,-2.96
137,37800,-2.9215
139,38250,-2.7793
140,38700,-2.8445
142,39150,-2.8945
145,40050,-2.7306
147,40500,-2.7394
150,41400,-2.6627
152,41850,-2.8855
153,42300,-2.6833
155,42750,-2.8668
157,43200,-2.7894
158,43650,-2.9494
160,44100,-2.6733
163,45000,-2.7635
165,45450,-2.9129
168,46350,-2.7077
170,46800,-2.8996
171,47250,-2.8997
173,47700,-2.7336
175,48150,-2.6577
176,48600,-3.0853
178,49050,-2.7677
181,49950,-2.717
183,50400,-2.9059
186,51300,-2.801
188,51750,-2.938
189,52200,-2.5798
191,52650,-2.7322
193,53100,-2.764
194,53550,-2.714
196,54000,-2.8591
199,54900,-2.7967
201,55350,-2.8719
204,56250,-2.9227
206,56700,-2.6309
207,57150,-3.1737
209,57600,-2.8551
211,58050,-2.8382
212,58500,-2.6078
214,58950,-2.8395
217,59850,-2.8841
219,60300,-3.0387
222,61200,-2.9117
224,61650,-2.7295
225,62100,-2.9094
227,62550,-2.8487
229,63000,-2.5827
230,63450,-2.7236
232,63900,-2.7854
235,64800,-2.6902
237,65250,-2.8523
240,66150,-2.7842
242,66600,-2.5513
243,67050,-2.7922
245,67500,-2.632
247,67950,-3.0142
248,68400,-2.7514
250,68850,-3.0131
253,69750,-2.7743
255,70200,-2.7623
258,71100,-2.8078
260,71550,-2.8859
261,72000,-2.9159
263,72450,-2.708
265,72900,-2.6659
266,73350,-2.6116
268,73800,-2.8124
271,74700,-2.587
273,75150,-2.6677
276,76050,-2.8374
278,76500,-2.7546
279,76950,-2.9545
281,77400,-2.7288
283,77850,-2.9409
284,78300,-2.5126
286,78750,-2.775
289,79650,-2.8548
291,80100,-2.7136
294,81000,-2.8994
296,81450,-2.7768
297,81900,-2.9382
299,82350,-2.8618
301,82800,-2.7181
302,83250,-2.3952
304,83700,-2.4831
307,84600,-2.6612
309,85050,-2.8029
312,85950,-2.9449
314,86400,-2.5797
315,86850,-2.7164
317,87300,-2.5709
319,87750,-2.7941
320,88200,-2.8417
322,88650,-2.8887
325,89550,-2.7454
327,90000,-2.7501
330,90900,-2.6155
332,91350,-2.8281
333,91800,-2.7204
335,92250,-2.7671
337,92700,-2.7507
338,93150,-2.679
340,93600,-2.7735
343,94500,-2.83
345,94950,-2.9332
348,95850,-2.6991
350,96300,-2.6805
351,96750,-2.905
353,97200,-2.9528
355,97650,-2.7736
356,98100,-2.9957
358,98550,-2.8637
361,99450,-2.8458
363,99900,-2.8436
