episode,timestep,reward
1,450,200.1868
3,900,176.5889
5,1350,138.4074
7,1800,144.7089
9,2250,143.4609
11,2700,135.4162
13,3150,119.0107
15,3600,116.4504
17,4050,108.8691
19,4500,123.1149
21,4950,125.9437
23,5400,106.348
25,5850,117.1543
27,6300,104.6184
29,6750,108.4161
31,7200,106.7443
33,7650,107.648
35,8100,109.6954
37,8550,111.1503
39,9000,108.5461
41,9450,128.6472
43,9900,138.341
45,10350,104.8606
47,10800,135.8707
49,11250,143.0906
51,11700,164.6146
53,12150,171.9944
55,12600,169.2868
57,13050,194.4239
59,13500,199.4794
61,13950,203.4778
63,14400,204.0778
65,14850,204.0778
67,15300,193.8902
69,15750,204.0778
71,16200,204.0778
73,16650,204.0481
75,17100,204.0778
77,17550,203.7118
79,18000,204.0778
81,18450,204.0481
83,18900,204.0778
85,19350,204.0778
87,19800,204.0481
89,20250,204.0778
91,20700,203.7362
93,21150,204.0184
95,21600,204.0778
97,22050,204.0778
99,22500,204.0481
101,22950,203.8525
103,23400,203.9239
105,23850,202.0241
107,24300,203.625
109,24750,204.0481
111,25200,203.3636
113,25650,203.6134
115,26100,203.1186
117,26550,203.9032
119,27000,199.7904
121,27450,198.732
123,27900,202.2218
125,28350,195.3505
127,28800,201.0484
129,29250,199.6354
131,29700,193.6191
133,30150,187.1469
135,30600,192.6651
137,31050,190.1684
139,31500,187.9332
141,31950,186.9856
143,32400,191.1825
145,32850,192.6138
147,33300,198.1595
149,33750,189.9095
151,34200,196.8856
153,34650,176.3103
155,35100,198.9829
157,35550,195.6473
159,36000,199.7452
161,36450,195.858
163,36900,196.9632
165,37350,202.5104
167,37800,198.6944
169,38250,203.7078
171,38700,201.4801
173,39150,203.0689
175,39600,202.4565
177,40050,202.9401
179,40500,203.3483
181,40950,203.681
183,41400,202.4804
185,41850,203.7587
187,42300,203.9946
189,42750,203.4919
191,43200,203.4928
193,43650,203.4015
195,44100,203.9364
197,44550,203.7304
199,45000,202.1063
201,45450,202.7619
203,45900,202.4048
205,46350,203.1527
207,46800,203.5527
209,47250,203.1696
211,47700,203.1779
213,48150,203.0492
215,48600,202.7775
217,49050,202.6666
219,49500,198.6502
221,49950,201.147
223,50400,197.359
225,50850,200.1107
227,51300,198.8215
229,51750,199.7934
231,52200,198.072
233,52650,200.2326
235,53100,200.4364
237,53550,184.3868
239,54000,180.4816
241,54450,191.3112
243,54900,177.6232
245,55350,190.7618
247,55800,188.8732
249,56250,182.6256
251,56700,180.4764
253,57150,183.0232
255,57600,186.9721
257,58050,193.2121
259,58500,192.6065
261,58950,175.9972
263,59400,170.8074
265,59850,193.5193
267,60300,196.4331
269,60750,187.0176
271,61200,197.6274
273,61650,198.7608
275,62100,189.9686
277,62550,198.9976
279,63000,199.0936
281,63450,199.6271
283,63900,196.8625
285,64350,202.29
287,64800,198.5469
289,65250,202.2697
291,65700,201.1618
293,66150,202.8017
295,66600,202.0091
297,67050,202.869
299,67500,203.2518
301,67950,202.0095
303,68400,201.6988
305,68850,202.6622
307,69300,203.226
309,69750,201.9978
311,70200,203.4784
313,70650,202.3226
315,71100,199.8225
317,71550,201.4418
319,72000,201.6252
321,72450,201.3234
323,72900,198.3265
325,73350,200.359
327,73800,201.8917
329,74250,199.797
331,74700,200.5559
333,75150,192.7652
335,75600,198.3771
337,76050,194.6143
339,76500,193.6024
341,76950,191.8502
343,77400,197.2123
345,77850,188.928
347,78300,174.2262
349,78750,191.0678
351,79200,182.6349
353,79650,147.4976
355,80100,184.6876
357,80550,169.1794
359,81000,179.8479
361,81450,170.6813
363,81900,186.0105
365,82350,177.5003
367,82800,184.0937
369,83250,187.8035
371,83700,169.23
373,84150,191.1399
375,84600,180.2967
377,85050,188.5692
379,85500,195.5366
381,85950,185.0028
383,86400,191.6547
385,86850,190.7108
387,87300,191.1297
389,87750,195.4553
391,88200,194.5704
393,88650,199.0058
395,89100,198.5978
397,89550,201.3417
399,90000,198.7962
401,90450,202.1069
403,90900,199.45
405,91350,201.6711
407,91800,202.4249
409,92250,202.2087
411,92700,202.8553
413,93150,203.1651
415,93600,203.428
417,94050,202.1954
419,94500,203.0872
421,94950,203.1751
423,95400,203.2284
425,95850,201.837
427,96300,198.4665
429,96750,202.863
431,97200,201.165
433,97650,202.1305
435,98100,199.7398
437,98550,201.7844
439,99000,200.0949
441,99450,200.9449
443,99900,194.2797
