episode,timestep,reward
1,450,-83.0248
3,900,-41.677
5,1350,-40.118
7,1800,-39.5359
9,2250,-40.7037
11,2700,-38.8749
13,3150,-40.8728
15,3600,-39.7867
17,4050,-41.7804
19,4500,-41.0291
21,4950,-38.7127
23,5400,-40.0513
25,5850,-39.8294
27,6300,-38.7966
29,6750,-37.5209
31,7200,-41.2602
33,7650,-41.1653
35,8100,-40.3648
37,8550,-40.2665
39,9000,-39.9726
41,9450,-39.9465
43,9900,-41.7225
45,10350,-39.4523
47,10800,-40.3386
49,11250,-41.7536
51,11700,-40.176
53,12150,-40.0055
55,12600,-39.3018
57,13050,-41.668
59,13500,-39.7021
61,13950,-41.5413
63,14400,-41.4275
65,14850,-41.4673
67,15300,-38.7622
69,15750,-40.6418
71,16200,-39.1598
73,16650,-39.5292
75,17100,-38.7375
77,17550,-39.6602
79,18000,-39.4518
81,18450,-38.5058
83,18900,-41.8591
85,19350,-39.5602
87,19800,-37.5435
89,20250,-38.1756
91,20700,-38.2014
93,21150,-40.9224
95,21600,-41.1948
97,22050,-41.2772
99,22500,-41.494
101,22950,-41.1617
103,23400,-40.2684
105,23850,-42.0896
107,24300,-41.9301
109,24750,-41.2602
111,25200,-39.6845
113,25650,-40.0246
115,26100,-40.0234
117,26550,-37.5625
119,27000,-42.287
121,27450,-41.2791
123,27900,-41.2291
125,28350,-41.0654
127,28800,-39.6409
129,29250,-38.2099
131,29700,-40.9515
133,30150,-39.6387
135,30600,-41.3946
137,31050,-40.5507
139,31500,-39.2934
141,31950,-42.1764
143,32400,-41.598
145,32850,-39.4571
147,33300,-39.5329
149,33750,-41.6396
151,34200,-41.098
153,34650,-41.3375
155,35100,-41.4428
157,35550,-40.9102
159,36000,-42.6218
161,36450,-41.0881
163,36900,-38.024
165,37350,-40.3697
167,37800,-38.7008
169,38250,-39.376
171,38700,-39.4671
173,39150,-37.7519
175,39600,-39.445
177,40050,-41.3017
179,40500,-40.2375
181,40950,-38.5297
183,41400,-41.5649
185,41850,-42.0854
187,42300,-40.6452
189,42750,-41.7051
191,43200,-38.926
193,43650,-39.4113
195,44100,-39.445
197,44550,-39.4571
199,45000,-39.9944
201,45450,-38.0619
203,45900,-38.2865
205,46350,-40.886
207,46800,-41.6725
209,47250,-39.6365
211,47700,-39.6413
213,48150,-39.9044
215,48600,-41.3086
217,49050,-41.4186
219,49500,-40.2305
221,49950,-39.7462
223,50400,-39.9487
225,50850,-37.7519
227,51300,-41.3038
229,51750,-40.1339
231,52200,-41.7962
233,52650,-37.2924
235,53100,-40.926
237,53550,-38.4259
239,54000,-41.8975
241,54450,-41.7005
243,54900,-41.2594
245,55350,-41.4882
247,55800,-37.373
249,56250,-38.9745
251,56700,-40.2901
253,57150,-37.7062
255,57600,-39.3518
257,58050,-39.2977
259,58500,-39.445
261,58950,-40.8844
263,59400,-42.0127
265,59850,-41.5972
267,60300,-39.6396
269,60750,-39.4866
271,61200,-39.3808
273,61650,-41.1949
275,62100,-41.3454
277,62550,-41.5784
279,63000,-39.7481
281,63450,-41.9096
283,63900,-38.1893
285,64350,-41.0876
287,64800,-39.3313
289,65250,-37.993
291,65700,-41.2186
293,66150,-39.3313
295,66600,-39.0681
297,67050,-39.495
299,67500,-38.2293
301,67950,-41.5201
303,68400,-40.0513
305,68850,-41.5502
307,69300,-40.5704
309,69750,-41.5755
311,70200,-38.5403
313,70650,-41.4428
315,71100,-38.2893
317,71550,-41.9528
319,72000,-41.2723
321,72450,-39.5455
323,72900,-40.9381
325,73350,-39.8621
327,73800,-41.3563
329,74250,-40.176
331,74700,-39.8907
333,75150,-40.0476
335,75600,-40.3742
337,76050,-40.2371
339,76500,-41.8749
341,76950,-40.424
343,77400,-41.6359
345,77850,-40.1548
347,78300,-42.1354
349,78750,-41.9785
351,79200,-39.3313
353,79650,-37.5435
355,80100,-39.495
357,80550,-39.3434
359,81000,-40.316
361,81450,-40.9023
363,81900,-38.2385
365,82350,-37.3351
367,82800,-39.8
369,83250,-39.4492
371,83700,-40.0323
373,84150,-39.495
375,84600,-41.4654
377,85050,-39.3241
379,85500,-40.7997
381,85950,-41.818
383,86400,-40.8539
385,86850,-38.0619
387,87300,-41.6483
389,87750,-41.2711
391,88200,-40.0392
393,88650,-38.0216
395,89100,-41.4118
397,89550,-39.4671
399,90000,-39.2676
401,90450,-41.0488
403,90900,-42.0764
405,91350,-40.2097
407,91800,-41.0533
409,92250,-39.1139
411,92700,-39.2518
413,93150,-39.486
415,93600,-40.4565
417,94050,-39.208
419,94500,-38.3441
421,94950,-40.9131
423,95400,-40.1213
425,95850,-39.2672
427,96300,-39.9634
429,96750,-40.0702
431,97200,-41.3928
433,97650,-41.4275
435,98100,-39.5329
437,98550,-39.465
439,99000,-41.8651
441,99450,-39.4433
443,99900,-41.777
